日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-12-28,0.997,0.994,0.999,0.99,2531414,252053213.0,0.9,-0.7,-0.007,6.35
2023-12-29,0.993,1.001,1.004,0.991,1888441,188745262.0,1.31,0.7,0.007,4.74
2024-01-02,1.001,1.016,1.018,1.001,2083660,211230493.0,1.7,1.5,0.015,5.23
2024-01-03,1.015,1.026,1.028,1.015,1064623,108998155.0,1.28,0.98,0.01,2.67
2024-01-04,1.026,1.034,1.035,1.025,792196,81530188.0,0.97,0.78,0.008,1.99
2024-01-05,1.033,1.034,1.044,1.028,729620,75493051.0,1.55,0.0,0.0,1.83
2024-01-08,1.031,1.023,1.031,1.022,578506,59321601.0,0.87,-1.06,-0.011,1.45
2024-01-09,1.023,1.033,1.033,1.015,577343,59242851.0,1.76,0.98,0.01,1.45
2024-01-10,1.03,1.024,1.03,1.023,513741,52716639.0,0.68,-0.87,-0.009,1.29
2024-01-11,1.02,1.018,1.024,1.016,571532,58318132.0,0.78,-0.59,-0.006,1.43
2024-01-12,1.018,1.021,1.032,1.018,539494,55237980.0,1.38,0.29,0.003,1.35
2024-01-15,1.02,1.028,1.03,1.019,663769,68087314.0,1.08,0.69,0.007,1.66
2024-01-16,1.028,1.028,1.031,1.018,498174,51022453.0,1.26,0.0,0.0,1.25
2024-01-17,1.026,1.012,1.032,1.011,571897,58649537.0,2.04,-1.56,-0.016,1.43
2024-01-18,1.011,1.004,1.012,0.98,555832,55180971.0,3.16,-0.79,-0.008,1.39
2024-01-19,1.003,0.998,1.007,0.996,894783,89560195.0,1.1,-0.6,-0.006,2.24
2024-01-22,0.991,0.964,0.997,0.959,693175,68347510.0,3.81,-3.41,-0.034,1.74
2024-01-23,0.962,0.982,0.983,0.957,607875,58724257.0,2.7,1.87,0.018,1.52
2024-01-24,0.976,0.998,0.999,0.972,735148,72616497.0,2.75,1.63,0.016,1.84
2024-01-25,0.999,1.027,1.027,0.993,709816,72034834.0,3.41,2.91,0.029,1.78
2024-01-26,1.025,1.036,1.039,1.018,708079,73086629.0,2.04,0.88,0.009,1.78
2024-01-29,1.036,1.034,1.041,1.026,659502,68299305.0,1.45,-0.19,-0.002,1.65
2024-01-30,1.026,1.019,1.032,1.017,734033,75213828.0,1.45,-1.45,-0.015,1.84
2024-01-31,1.02,1.013,1.022,1.007,926863,93982773.0,1.47,-0.59,-0.006,2.32
2024-02-01,1.003,0.998,1.011,0.993,612091,61307511.0,1.78,-1.48,-0.015,1.53
2024-02-02,0.998,0.989,1.007,0.971,639616,63805029.0,3.61,-0.9,-0.009,1.6
2024-02-05,0.989,0.989,0.998,0.962,603335,58951511.0,3.64,0.0,0.0,1.51
2024-02-06,0.985,1.005,1.012,0.971,570865,56305664.0,4.15,1.62,0.016,1.43
2024-02-07,1.009,1.02,1.02,1.002,645361,65280061.0,1.79,1.49,0.015,1.62
2024-02-08,1.02,1.027,1.03,1.019,633269,64914710.0,1.08,0.69,0.007,1.59
2024-02-19,1.028,1.052,1.052,1.019,1435422,149894910.0,3.21,2.43,0.025,3.6
2024-02-20,1.052,1.059,1.06,1.041,755356,79536663.0,1.81,0.67,0.007,1.89
2024-02-21,1.057,1.063,1.078,1.055,883113,93836876.0,2.17,0.38,0.004,2.21
2024-02-22,1.062,1.082,1.082,1.053,683852,73174008.0,2.73,1.79,0.019,1.71
2024-02-23,1.082,1.078,1.089,1.073,696315,75192923.0,1.48,-0.37,-0.004,1.75
2024-02-26,1.075,1.063,1.079,1.059,755779,80849719.0,1.86,-1.39,-0.015,1.9
2024-02-27,1.06,1.071,1.071,1.053,660607,70460286.0,1.69,0.75,0.008,1.66
2024-02-28,1.071,1.06,1.074,1.058,684969,73237618.0,1.49,-1.03,-0.011,1.72
2024-02-29,1.059,1.072,1.072,1.055,653745,69571602.0,1.6,1.13,0.012,1.64
2024-03-01,1.07,1.074,1.076,1.068,598431,64186867.0,0.75,0.19,0.002,1.5
2024-03-04,1.07,1.083,1.084,1.07,632284,68053152.0,1.3,0.84,0.009,1.59
2024-03-05,1.084,1.088,1.088,1.079,620348,67241695.0,0.83,0.46,0.005,1.56
2024-03-06,1.082,1.092,1.097,1.082,621712,67881684.0,1.38,0.37,0.004,1.56
2024-03-07,1.093,1.097,1.105,1.091,683153,74980135.0,1.28,0.46,0.005,1.71
2024-03-08,1.095,1.104,1.106,1.09,762044,83458284.0,1.46,0.64,0.007,1.91
2024-03-11,1.105,1.094,1.105,1.088,608489,66426948.0,1.54,-0.91,-0.01,1.53
2024-03-12,1.093,1.076,1.093,1.073,627673,67727647.0,1.83,-1.65,-0.018,1.57
2024-03-13,1.076,1.07,1.076,1.063,684403,73100913.0,1.21,-0.56,-0.006,1.72
2024-03-14,1.071,1.072,1.075,1.066,573847,61556207.0,0.84,0.19,0.002,1.44
2024-03-15,1.073,1.071,1.073,1.061,591589,62993086.0,1.12,-0.09,-0.001,1.48
2024-03-18,1.071,1.07,1.071,1.063,570501,60838448.0,0.75,-0.09,-0.001,1.43
2024-03-19,1.07,1.065,1.075,1.064,686030,73437938.0,1.03,-0.47,-0.005,1.72
2024-03-20,1.067,1.069,1.07,1.059,655618,69813884.0,1.03,0.38,0.004,1.64
2024-03-21,1.069,1.07,1.072,1.065,575896,61532363.0,0.65,0.09,0.001,1.44
2024-03-22,1.071,1.064,1.071,1.055,570752,60557296.0,1.5,-0.56,-0.006,1.43
2024-03-25,1.063,1.062,1.074,1.06,621742,66385269.0,1.32,-0.19,-0.002,1.56
2024-03-26,1.068,1.06,1.069,1.049,636086,67128961.0,1.88,-0.19,-0.002,1.6
2024-03-27,1.056,1.054,1.062,1.05,642316,67915809.0,1.13,-0.57,-0.006,1.61
2024-03-28,1.05,1.054,1.059,1.045,637537,67058487.0,1.33,0.0,0.0,1.6
2024-03-29,1.05,1.066,1.067,1.05,615066,65189260.0,1.61,1.14,0.012,1.54
2024-04-01,1.066,1.07,1.07,1.061,578740,61746322.0,0.84,0.38,0.004,1.45
2024-04-02,1.07,1.075,1.078,1.07,602174,64721940.0,0.75,0.47,0.005,1.51
2024-04-03,1.079,1.089,1.089,1.071,646189,69769321.0,1.67,1.3,0.014,1.62
2024-04-08,1.081,1.086,1.095,1.079,631020,68771591.0,1.47,-0.28,-0.003,1.58
2024-04-09,1.086,1.081,1.086,1.077,578051,62399700.0,0.83,-0.46,-0.005,1.45
2024-04-10,1.081,1.081,1.087,1.076,569502,61695534.0,1.02,0.0,0.0,1.43
2024-04-11,1.081,1.092,1.098,1.076,618721,67282694.0,2.04,1.02,0.011,1.55
2024-04-12,1.092,1.089,1.095,1.086,672536,73337059.0,0.82,-0.27,-0.003,1.69
2024-04-15,1.088,1.105,1.105,1.08,664643,72824247.0,2.3,1.47,0.016,1.67
2024-04-16,1.104,1.097,1.11,1.09,715363,78690129.0,1.81,-0.72,-0.008,1.79
2024-04-17,1.096,1.115,1.115,1.091,652144,71831539.0,2.19,1.64,0.018,1.64
2024-04-18,1.108,1.121,1.128,1.107,629014,70472891.0,1.88,0.54,0.006,1.58
2024-04-19,1.122,1.122,1.129,1.116,603504,67828649.0,1.16,0.09,0.001,1.51
2024-04-22,1.123,1.101,1.125,1.099,668101,74351182.0,2.32,-1.87,-0.021,1.68
2024-04-23,1.098,1.084,1.098,1.08,605662,65808525.0,1.63,-1.54,-0.017,1.52
2024-04-24,1.089,1.081,1.092,1.071,605955,65156638.0,1.94,-0.28,-0.003,1.52
2024-04-25,1.081,1.09,1.09,1.079,569790,61730672.0,1.02,0.83,0.009,1.43
2024-04-26,1.09,1.081,1.09,1.074,663067,71593130.0,1.47,-0.83,-0.009,1.66
2024-04-29,1.079,1.078,1.079,1.067,669215,71895063.0,1.11,-0.28,-0.003,1.68
2024-04-30,1.077,1.082,1.084,1.076,578759,62550857.0,0.74,0.37,0.004,1.45
2024-05-06,1.079,1.092,1.093,1.074,658991,71546671.0,1.76,0.92,0.01,1.65
2024-05-07,1.092,1.096,1.096,1.09,630847,68952609.0,0.55,0.37,0.004,1.58
2024-05-08,1.096,1.099,1.103,1.09,587087,64553471.0,1.19,0.27,0.003,1.47
2024-05-09,1.099,1.113,1.113,1.099,647916,71576678.0,1.27,1.27,0.014,1.62
2024-05-10,1.114,1.115,1.115,1.105,578825,64195825.0,0.9,0.18,0.002,1.45
2024-05-13,1.114,1.118,1.121,1.103,564636,62740968.0,1.61,0.27,0.003,1.42
2024-05-14,1.118,1.116,1.118,1.109,564148,62791441.0,0.81,-0.18,-0.002,1.41
2024-05-15,1.116,1.115,1.122,1.11,513791,57325858.0,1.08,-0.09,-0.001,1.29
2024-05-16,1.112,1.115,1.122,1.112,528578,59136739.0,0.9,0.0,0.0,1.33
2024-05-17,1.117,1.124,1.124,1.111,601869,67148282.0,1.17,0.81,0.009,1.51
2024-05-20,1.124,1.139,1.139,1.124,565480,63891733.0,1.33,1.33,0.015,1.42
2024-05-21,1.144,1.138,1.144,1.132,557147,63354737.0,1.05,-0.09,-0.001,1.4
2024-05-22,1.143,1.142,1.147,1.133,510107,58358925.0,1.23,0.35,0.004,1.28
2024-05-23,1.147,1.125,1.147,1.122,490870,55448739.0,2.19,-1.49,-0.017,1.23
2024-05-24,1.122,1.123,1.136,1.122,521669,58997779.0,1.24,-0.18,-0.002,1.31
2024-05-27,1.127,1.14,1.141,1.127,518541,58820870.0,1.25,1.51,0.017,1.3
2024-05-28,1.14,1.137,1.142,1.133,527288,59999143.0,0.79,-0.26,-0.003,1.32
2024-05-29,1.141,1.141,1.148,1.133,534137,61051257.0,1.32,0.35,0.004,1.34
2024-05-30,1.143,1.131,1.145,1.128,543117,61894619.0,1.49,-0.88,-0.01,1.36
2024-05-31,1.136,1.133,1.138,1.129,484264,54926036.0,0.8,0.18,0.002,1.21
2024-06-03,1.135,1.125,1.135,1.117,537510,60547015.0,1.59,-0.71,-0.008,1.35
2024-06-04,1.116,1.128,1.13,1.115,532870,59753646.0,1.33,0.27,0.003,1.34
2024-06-05,1.128,1.112,1.129,1.111,553863,62265139.0,1.6,-1.42,-0.016,1.39
