日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-13,1.001,1.003,1.004,0.996,2181064,218407589.0,0.8,0.1,0.001,432.31
2025-03-14,1.002,1.02,1.02,1.002,2935848,296674660.0,1.79,1.69,0.017,581.92
2025-03-17,1.019,1.02,1.021,1.015,615324,62707570.0,0.59,0.0,0.0,121.96
2025-03-18,1.02,1.022,1.023,1.017,406951,41526495.0,0.59,0.2,0.002,80.66
2025-03-19,1.022,1.023,1.025,1.016,234526,23924245.0,0.88,0.1,0.001,46.49
2025-03-20,1.021,1.02,1.022,1.015,228116,23240056.0,0.68,-0.29,-0.003,45.22
2025-03-21,1.018,1.013,1.023,1.007,191699,19470425.0,1.57,-0.69,-0.007,38.0
2025-03-24,1.014,1.014,1.014,1.001,105388,10639216.0,1.28,0.1,0.001,20.89
2025-03-25,1.013,1.015,1.015,1.009,34017,3446014.0,0.59,0.1,0.001,6.74
2025-03-26,1.014,1.014,1.018,1.012,23174,2350879.0,0.59,-0.1,-0.001,4.59
2025-03-27,1.007,1.016,1.017,1.007,35302,3577599.0,0.99,0.2,0.002,7.0
2025-03-28,1.015,1.009,1.015,1.005,46805,4717797.0,0.98,-0.69,-0.007,9.28
2025-03-31,1.009,1.003,1.011,0.999,20809,2090944.0,1.19,-0.59,-0.006,4.12
2025-04-01,1.001,1.009,1.011,1.001,69403,6990739.0,1.0,0.6,0.006,13.76
2025-04-02,1.008,1.01,1.013,1.006,34223,3455297.0,0.69,0.1,0.001,6.78
2025-04-03,1.006,1.009,1.01,1.003,39621,3985880.0,0.69,-0.1,-0.001,7.85
2025-04-07,1.008,0.928,1.008,0.916,93556,8795083.0,9.12,-8.03,-0.081,18.54
2025-04-08,0.928,0.947,0.948,0.928,59957,5618934.0,2.16,2.05,0.019,11.88
2025-04-09,0.944,0.954,0.959,0.922,115483,10865713.0,3.91,0.74,0.007,22.89
2025-04-10,0.954,0.968,0.972,0.954,75851,7318832.0,1.89,1.47,0.014,15.03
2025-04-11,0.96,0.972,0.974,0.945,21057,2035594.0,3.0,0.41,0.004,4.17
2025-04-14,0.972,0.976,0.979,0.972,14769,1441878.0,0.72,0.41,0.004,2.93
2025-04-15,0.976,0.978,0.979,0.972,12069,1177007.0,0.72,0.2,0.002,2.39
2025-04-16,0.977,0.982,0.982,0.97,8340,813001.0,1.23,0.41,0.004,1.65
2025-04-17,0.982,0.986,0.988,0.975,36091,3555584.0,1.32,0.41,0.004,7.15
2025-04-18,0.985,0.99,0.992,0.983,22960,2264188.0,0.91,0.41,0.004,4.55
2025-04-21,0.99,0.99,0.992,0.985,5614,555586.0,0.71,0.0,0.0,1.11
2025-04-22,0.989,0.999,0.999,0.988,22940,2283307.0,1.11,0.91,0.009,4.55
2025-04-23,0.998,0.999,1.0,0.996,14987,1495945.0,0.4,0.0,0.0,2.97
2025-04-24,0.998,0.997,1.001,0.994,7959,793719.0,0.7,-0.2,-0.002,1.58
2025-04-25,0.997,0.998,1.0,0.997,31000,3095600.0,0.3,0.1,0.001,6.14
