日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-12-14,0.998,0.995,1.0,0.992,1260518,125662452.0,0.8,-0.3,-0.003,3.72
2023-12-15,0.997,0.99,0.999,0.99,320065,31879939.0,0.9,-0.5,-0.005,0.94
2023-12-18,0.991,0.99,0.995,0.987,225099,22342562.0,0.81,0.0,0.0,0.66
2023-12-19,0.99,0.99,0.991,0.986,103600,10233219.0,0.51,0.0,0.0,0.31
2023-12-20,0.99,0.99,0.997,0.988,176974,17586391.0,0.91,0.0,0.0,0.52
2023-12-21,0.989,0.986,0.989,0.977,109493,10753781.0,1.21,-0.4,-0.004,0.32
2023-12-22,0.985,0.986,0.99,0.983,94851,9357115.0,0.71,0.0,0.0,0.28
2023-12-25,0.986,0.986,0.986,0.977,72089,7067226.0,0.91,0.0,0.0,0.21
2023-12-26,0.986,0.985,0.993,0.984,84461,8343103.0,0.91,-0.1,-0.001,0.25
2023-12-27,0.985,0.99,0.991,0.981,53445,5276303.0,1.02,0.51,0.005,0.16
2023-12-28,0.991,0.987,0.992,0.984,81780,8075489.0,0.81,-0.3,-0.003,0.24
2023-12-29,0.987,0.991,0.992,0.986,81922,8099606.0,0.61,0.41,0.004,0.24
2024-01-02,0.992,1.002,1.007,0.991,324804,32533402.0,1.61,1.11,0.011,0.96
2024-01-03,1.0,1.012,1.016,1.0,184781,18660850.0,1.6,1.0,0.01,0.54
2024-01-04,1.012,1.024,1.025,1.012,119796,12201879.0,1.28,1.19,0.012,0.35
2024-01-05,1.02,1.027,1.04,1.02,118530,12207437.0,1.95,0.29,0.003,0.35
2024-01-08,1.027,1.018,1.027,1.016,84575,8625153.0,1.07,-0.88,-0.009,0.25
2024-01-09,1.013,1.024,1.025,1.01,55195,5625773.0,1.47,0.59,0.006,0.16
2024-01-10,1.02,1.016,1.025,1.016,24444,2489452.0,0.88,-0.78,-0.008,0.07
2024-01-11,1.018,1.013,1.018,1.01,40228,4073511.0,0.79,-0.3,-0.003,0.12
2024-01-12,1.009,1.013,1.019,1.008,48551,4929972.0,1.09,0.0,0.0,0.14
2024-01-15,1.016,1.023,1.023,1.014,44253,4509623.0,0.89,0.99,0.01,0.13
2024-01-16,1.02,1.027,1.028,1.018,47657,4873278.0,0.98,0.39,0.004,0.14
2024-01-17,1.025,1.015,1.03,1.015,58779,6010955.0,1.46,-1.17,-0.012,0.17
2024-01-18,1.015,1.008,1.015,0.981,132493,13180410.0,3.35,-0.69,-0.007,0.39
2024-01-19,1.007,1.002,1.007,0.993,45236,4525815.0,1.39,-0.6,-0.006,0.13
2024-01-22,1.0,0.979,1.001,0.97,68406,6755685.0,3.09,-2.3,-0.023,0.2
2024-01-23,0.97,0.985,0.987,0.964,41668,4059537.0,2.35,0.61,0.006,0.12
2024-01-24,0.986,1.005,1.006,0.984,70712,7057004.0,2.23,2.03,0.02,0.21
2024-01-25,1.007,1.035,1.036,1.006,85941,8803262.0,2.99,2.99,0.03,0.25
2024-01-26,1.032,1.048,1.049,1.029,99172,10333427.0,1.93,1.26,0.013,0.29
2024-01-29,1.051,1.053,1.06,1.047,104976,11072324.0,1.24,0.48,0.005,0.31
2024-01-30,1.05,1.039,1.055,1.038,96694,10119986.0,1.61,-1.33,-0.014,0.29
2024-01-31,1.03,1.04,1.048,1.03,64080,6652936.0,1.73,0.1,0.001,0.19
2024-02-01,1.036,1.026,1.037,1.022,61028,6278735.0,1.44,-1.35,-0.014,0.18
2024-02-02,1.031,1.029,1.043,1.008,92964,9594498.0,3.41,0.29,0.003,0.27
2024-02-05,1.027,1.026,1.036,1.007,80369,8216899.0,2.82,-0.29,-0.003,0.24
2024-02-06,1.02,1.043,1.047,1.018,62486,6445860.0,2.83,1.66,0.017,0.18
2024-02-07,1.036,1.053,1.053,1.036,66677,6973286.0,1.63,0.96,0.01,0.2
2024-02-08,1.053,1.052,1.061,1.045,73441,7717764.0,1.52,-0.09,-0.001,0.22
2024-02-19,1.06,1.079,1.081,1.05,309307,33192852.0,2.95,2.57,0.027,0.91
2024-02-20,1.079,1.089,1.089,1.072,68942,7458373.0,1.58,0.93,0.01,0.2
2024-02-21,1.089,1.092,1.107,1.083,59613,6549468.0,2.2,0.28,0.003,0.18
2024-02-22,1.091,1.11,1.11,1.091,48072,5287371.0,1.74,1.65,0.018,0.14
2024-02-23,1.11,1.107,1.118,1.103,62178,6889691.0,1.35,-0.27,-0.003,0.18
2024-02-26,1.105,1.082,1.107,1.079,74872,8192849.0,2.53,-2.26,-0.025,0.22
2024-02-27,1.082,1.09,1.09,1.077,57117,6195750.0,1.2,0.74,0.008,0.17
2024-02-28,1.082,1.081,1.092,1.078,53275,5773106.0,1.28,-0.83,-0.009,0.16
