日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-12-02,1.01,1.022,1.028,1.009,8833008,899043648.0,1.88,0.89,0.009,81.04
2024-12-03,1.023,1.023,1.027,1.016,5278433,538293452.0,1.08,0.1,0.001,48.43
2024-12-04,1.022,1.016,1.024,1.013,5154899,525049920.0,1.08,-0.68,-0.007,47.29
2024-12-05,1.016,1.015,1.019,1.011,4737287,480871140.0,0.79,-0.1,-0.001,43.46
2024-12-06,1.015,1.029,1.035,1.015,5217045,534552952.0,1.97,1.38,0.014,47.86
2024-12-09,1.028,1.027,1.034,1.018,4655249,478079823.0,1.55,-0.19,-0.002,42.71
2024-12-10,1.051,1.035,1.07,1.031,4278424,446390241.0,3.8,0.78,0.008,39.25
2024-12-11,1.028,1.034,1.038,1.028,4699508,486196954.0,0.97,-0.1,-0.001,43.12
2024-12-12,1.033,1.043,1.044,1.032,4661177,483215344.0,1.16,0.87,0.009,42.76
2024-12-13,1.042,1.02,1.042,1.018,4527215,464066547.0,2.3,-2.21,-0.023,41.54
2024-12-16,1.021,1.012,1.021,1.009,4099287,415918974.0,1.18,-0.78,-0.008,37.61
2024-12-17,1.012,1.013,1.022,1.011,4660672,473275624.0,1.09,0.1,0.001,42.76
2024-12-18,1.013,1.018,1.023,1.013,3436481,350004444.0,0.99,0.49,0.005,31.53
2024-12-19,1.012,1.021,1.022,1.006,4185094,425009897.0,1.57,0.29,0.003,38.4
2024-12-20,1.024,1.019,1.026,1.016,4028404,411234033.0,0.98,-0.2,-0.002,36.96
2024-12-23,1.014,1.016,1.025,1.014,4170807,426066039.0,1.08,-0.29,-0.003,38.27
2024-12-24,1.016,1.026,1.028,1.016,4258049,434976372.0,1.18,0.98,0.01,39.07
2024-12-25,1.025,1.024,1.031,1.02,3956595,405454569.0,1.07,-0.19,-0.002,36.3
2024-12-26,1.024,1.027,1.029,1.022,3781640,388175487.0,0.68,0.29,0.003,34.7
2024-12-27,1.026,1.026,1.034,1.023,4128969,424493729.0,1.07,-0.1,-0.001,37.88
2024-12-30,1.026,1.029,1.032,1.026,3502950,360533596.0,0.58,0.29,0.003,32.14
2024-12-31,1.03,1.012,1.032,1.011,4596186,469709428.0,2.04,-1.65,-0.017,42.17
2025-01-02,1.012,0.982,1.015,0.976,4742634,473060591.0,3.85,-2.96,-0.03,43.51
2025-01-03,0.981,0.97,0.986,0.966,5140527,503232990.0,2.04,-1.22,-0.012,47.16
2025-01-06,0.966,0.967,0.975,0.938,5071263,489862918.0,3.81,-0.31,-0.003,46.53
2025-01-07,0.968,0.975,0.975,0.963,5176006,500978331.0,1.24,0.83,0.008,47.49
2025-01-08,0.975,0.973,0.98,0.956,3987199,384680065.0,2.46,-0.21,-0.002,36.58
2025-01-09,0.97,0.972,0.976,0.969,3353081,326497659.0,0.72,-0.1,-0.001,30.76
