日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-01,0.997,1.001,1.002,0.996,1528951,152790013.0,0.6,0.2,0.002,37.98
2025-12-02,1.001,1.002,1.004,0.999,484656,48563374.0,0.5,0.1,0.001,12.04
2025-12-03,1.002,1.001,1.006,0.999,1068123,107315738.0,0.7,-0.1,-0.001,26.53
2025-12-04,1.001,0.999,1.002,0.998,64888,6483387.0,0.4,-0.2,-0.002,1.61
2025-12-05,1.0,0.998,1.0,0.993,80172,7986052.0,0.7,-0.1,-0.001,1.99
2025-12-08,1.0,0.995,1.0,0.994,52802,5256143.0,0.6,-0.3,-0.003,1.31
2025-12-09,0.994,0.989,0.994,0.989,64180,6360228.0,0.5,-0.6,-0.006,1.59
2025-12-10,0.989,0.985,0.989,0.981,61942,6093660.0,0.81,-0.4,-0.004,1.54
2025-12-11,0.986,0.983,0.988,0.981,60326,5936980.0,0.71,-0.2,-0.002,1.5
2025-12-12,0.983,0.982,0.985,0.978,94501,9266659.0,0.71,-0.1,-0.001,2.35
2025-12-15,0.985,0.985,0.99,0.982,90313,8913902.0,0.81,0.31,0.003,2.24
2025-12-16,0.985,0.984,0.988,0.979,77829,7641605.0,0.91,-0.1,-0.001,1.93
