日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-14,0.998,0.988,1.004,0.987,509302,50837137.0,1.69,-1.89,-0.019,28.49
2025-11-17,0.99,0.996,0.999,0.988,148315,14740491.0,1.11,0.81,0.008,8.3
2025-11-18,0.996,0.978,0.996,0.975,57851,5664876.0,2.11,-1.81,-0.018,3.24
2025-11-19,0.975,0.975,0.987,0.973,60190,5874490.0,1.43,-0.31,-0.003,3.37
2025-11-20,0.975,0.972,0.99,0.97,54039,5262678.0,2.05,-0.31,-0.003,3.02
2025-11-21,0.961,0.943,0.97,0.94,106379,10117246.0,3.09,-2.98,-0.029,5.95
2025-11-24,0.945,0.983,0.985,0.945,122100,11817719.0,4.24,4.24,0.04,6.83
2025-11-25,0.983,0.994,1.005,0.976,448515,44698888.0,2.95,1.12,0.011,25.09
2025-11-26,0.993,0.978,1.0,0.976,128785,12678246.0,2.41,-1.61,-0.016,7.2
2025-11-27,0.978,0.977,0.986,0.968,109784,10754784.0,1.84,-0.1,-0.001,6.14
2025-11-28,0.985,0.999,1.0,0.984,326470,32436870.0,1.64,2.25,0.022,18.26
2025-12-01,1.006,1.012,1.021,1.003,1066388,108054506.0,1.8,1.3,0.013,59.66
2025-12-02,1.009,1.011,1.02,1.0,642883,65022137.0,1.98,-0.1,-0.001,35.97
2025-12-03,1.016,0.997,1.018,0.989,292556,29264975.0,2.87,-1.38,-0.014,16.37
2025-12-04,0.997,1.021,1.03,0.992,650886,66215602.0,3.81,2.41,0.024,36.41
2025-12-05,1.02,1.048,1.052,1.01,732961,75770305.0,4.11,2.64,0.027,41.01
2025-12-08,1.065,1.067,1.093,1.062,624388,67365094.0,2.96,1.81,0.019,34.93
2025-12-09,1.067,1.061,1.073,1.05,343624,36454801.0,2.16,-0.56,-0.006,19.22
2025-12-10,1.055,1.078,1.089,1.052,244489,26188294.0,3.49,1.6,0.017,13.68
2025-12-11,1.082,1.094,1.104,1.076,398905,43678181.0,2.6,1.48,0.016,22.32
2025-12-12,1.095,1.108,1.116,1.085,346795,38167157.0,2.83,1.28,0.014,19.4
2025-12-15,1.111,1.132,1.141,1.092,367635,41267570.0,4.42,2.17,0.024,20.57
2025-12-16,1.132,1.138,1.15,1.1,617625,69623115.0,4.42,0.53,0.006,34.55
