日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-02,0.991,0.993,0.996,0.989,1477581,146660205.0,0.7,-0.1,-0.001,109.38
2025-04-03,0.985,0.985,0.991,0.981,745948,73526011.0,1.01,-0.81,-0.008,55.22
2025-04-07,0.947,0.908,0.947,0.887,445805,40878967.0,6.09,-7.82,-0.077,33.0
2025-04-08,0.89,0.916,0.917,0.89,520894,47331261.0,2.97,0.88,0.008,38.56
2025-04-09,0.908,0.926,0.93,0.901,317878,29269060.0,3.17,1.09,0.01,23.53
2025-04-10,0.927,0.943,0.951,0.927,296758,28031005.0,2.59,1.84,0.017,21.97
2025-04-11,0.942,0.949,0.955,0.939,247310,23376346.0,1.7,0.64,0.006,18.31
2025-04-14,0.954,0.953,0.958,0.952,233408,22286364.0,0.63,0.42,0.004,17.28
2025-04-15,0.951,0.952,0.952,0.948,132752,12603554.0,0.42,-0.1,-0.001,9.83
2025-04-16,0.949,0.953,0.955,0.942,475595,44956314.0,1.37,0.11,0.001,35.21
2025-04-17,0.948,0.953,0.956,0.948,100326,9568585.0,0.84,0.0,0.0,7.43
2025-04-18,0.95,0.955,0.955,0.949,117253,11154604.0,0.63,0.21,0.002,8.68
2025-04-21,0.952,0.959,0.961,0.952,1012027,97098158.0,0.94,0.42,0.004,74.92
2025-04-22,0.96,0.96,0.962,0.958,209261,20096878.0,0.42,0.1,0.001,15.49
2025-04-23,0.962,0.96,0.965,0.959,191359,18394256.0,0.63,0.0,0.0,14.17
2025-04-24,0.961,0.958,0.966,0.957,91677,8828632.0,0.94,-0.21,-0.002,6.79
2025-04-25,0.962,0.96,0.964,0.959,106390,10230331.0,0.52,0.21,0.002,7.88
2025-04-28,0.96,0.958,0.96,0.958,32048,3071981.0,0.21,-0.21,-0.002,2.37
2025-04-29,0.955,0.956,0.96,0.955,95968,9191663.0,0.52,-0.21,-0.002,7.1
2025-04-30,0.957,0.959,0.963,0.957,118800,11403012.0,0.63,0.31,0.003,8.79
2025-05-06,0.959,0.971,0.971,0.959,104242,10100917.0,1.25,1.25,0.012,7.72
2025-05-07,0.972,0.976,0.986,0.971,156803,15301410.0,1.54,0.51,0.005,11.61
2025-05-08,0.976,0.982,0.984,0.976,101170,9922097.0,0.82,0.61,0.006,7.49
2025-05-09,0.98,0.977,0.981,0.976,88008,8611062.0,0.51,-0.51,-0.005,6.52
2025-05-12,0.977,0.988,0.99,0.977,128857,12716295.0,1.33,1.13,0.011,9.54
2025-05-13,0.992,0.99,0.994,0.99,170735,16940164.0,0.4,0.2,0.002,12.64
2025-05-14,0.991,0.999,1.004,0.989,332286,33150418.0,1.52,0.91,0.009,24.6
2025-05-15,0.999,0.991,1.001,0.99,194621,19367002.0,1.1,-0.8,-0.008,14.41
2025-05-16,0.99,0.986,0.99,0.984,93947,9265725.0,0.61,-0.5,-0.005,6.95
2025-05-19,0.983,0.986,0.986,0.981,99224,9757318.0,0.51,0.0,0.0,7.35
2025-05-20,0.988,0.992,0.993,0.986,50132,4956909.0,0.71,0.61,0.006,3.71
2025-05-21,0.992,0.995,0.997,0.992,76823,7642373.0,0.5,0.3,0.003,5.69
2025-05-22,0.992,0.991,0.996,0.991,55738,5540547.0,0.5,-0.4,-0.004,4.13
2025-05-23,0.995,0.987,0.998,0.986,136745,13571544.0,1.21,-0.4,-0.004,10.12
2025-05-26,0.984,0.982,0.987,0.979,48745,4794914.0,0.81,-0.51,-0.005,3.61
2025-05-27,0.98,0.976,0.981,0.975,70878,6935102.0,0.61,-0.61,-0.006,5.25
2025-05-28,0.977,0.975,0.978,0.974,57396,5601595.0,0.41,-0.1,-0.001,4.25
2025-05-29,0.974,0.981,0.985,0.974,81419,7989508.0,1.13,0.62,0.006,6.03
2025-05-30,0.979,0.98,0.98,0.975,68495,6700311.0,0.51,-0.1,-0.001,5.07
2025-06-03,0.98,0.977,0.982,0.976,99580,9744359.0,0.61,-0.31,-0.003,7.37
2025-06-04,0.981,0.981,0.984,0.981,81518,8013523.0,0.31,0.41,0.004,6.03
2025-06-05,0.983,0.985,0.987,0.981,203333,20006133.0,0.61,0.41,0.004,15.05
2025-06-06,0.985,0.986,0.988,0.985,148948,14682825.0,0.3,0.1,0.001,11.03
2025-06-09,0.987,0.989,0.992,0.987,133181,13184613.0,0.51,0.3,0.003,9.86
2025-06-10,0.989,0.983,0.991,0.98,139528,13803467.0,1.11,-0.61,-0.006,10.33
2025-06-11,0.984,0.992,0.996,0.984,132215,13122619.0,1.22,0.92,0.009,9.79
