日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,0.996,0.999,1.002,0.993,922772,92137170.0,0.9,0.1,0.001,17.95
2025-04-29,1.0,0.996,1.002,0.995,181869,18170965.0,0.7,-0.3,-0.003,3.54
2025-04-30,0.995,0.983,0.995,0.981,111658,11002874.0,1.41,-1.31,-0.013,2.17
2025-05-06,0.983,0.983,0.987,0.978,135273,13268480.0,0.92,0.0,0.0,2.63
2025-05-07,0.986,0.992,0.992,0.985,111180,11003073.0,0.71,0.92,0.009,2.16
2025-05-08,0.991,0.995,0.996,0.99,74976,7453307.0,0.6,0.3,0.003,1.46
2025-05-09,0.995,1.0,1.001,0.99,209115,20903487.0,1.11,0.5,0.005,4.07
2025-05-12,1.0,1.003,1.005,0.999,346455,34706171.0,0.6,0.3,0.003,6.74
2025-05-13,1.003,1.011,1.013,1.003,648880,65528959.0,1.0,0.8,0.008,12.62
2025-05-14,1.012,1.025,1.025,1.011,510278,52014760.0,1.38,1.38,0.014,9.92
2025-05-15,1.022,1.021,1.028,1.02,222936,22819247.0,0.78,-0.39,-0.004,4.34
2025-05-16,1.019,1.013,1.019,1.009,111823,11318024.0,0.98,-0.78,-0.008,2.17
2025-05-19,1.012,1.016,1.017,1.012,54531,5539572.0,0.49,0.3,0.003,1.06
2025-05-20,1.015,1.018,1.019,1.013,75032,7632493.0,0.59,0.2,0.002,1.46
2025-05-21,1.018,1.027,1.031,1.018,127985,13153247.0,1.28,0.88,0.009,2.49
2025-05-22,1.026,1.03,1.032,1.023,70696,7277693.0,0.88,0.29,0.003,1.38
2025-05-23,1.029,1.024,1.036,1.021,73138,7507899.0,1.46,-0.58,-0.006,1.42
2025-05-26,1.026,1.017,1.026,1.014,108098,10979535.0,1.17,-0.68,-0.007,2.1
2025-05-27,1.016,1.017,1.021,1.012,73848,7500784.0,0.88,0.0,0.0,1.44
2025-05-28,1.017,1.019,1.02,1.015,50170,5107235.0,0.49,0.2,0.002,0.98
2025-05-29,1.017,1.022,1.023,1.017,37960,3876152.0,0.59,0.29,0.003,0.74
2025-05-30,1.025,1.026,1.026,1.02,50046,5120702.0,0.59,0.39,0.004,0.97
2025-06-03,1.02,1.031,1.033,1.02,52288,5376649.0,1.27,0.49,0.005,1.02
2025-06-04,1.031,1.033,1.035,1.028,65895,6799005.0,0.68,0.19,0.002,1.28
2025-06-05,1.033,1.029,1.035,1.026,78690,8095478.0,0.87,-0.39,-0.004,1.53
2025-06-06,1.031,1.03,1.035,1.028,50189,5166018.0,0.68,0.1,0.001,0.98
2025-06-09,1.03,1.033,1.033,1.027,59283,6099410.0,0.58,0.29,0.003,1.15
2025-06-10,1.033,1.033,1.039,1.029,75928,7852556.0,0.97,0.0,0.0,1.48
2025-06-11,1.032,1.039,1.039,1.032,53648,5559557.0,0.68,0.58,0.006,1.04
2025-06-12,1.038,1.037,1.038,1.033,27967,2897949.0,0.48,-0.19,-0.002,0.54
2025-06-13,1.038,1.033,1.04,1.033,36397,3768953.0,0.68,-0.39,-0.004,0.71
2025-06-16,1.04,1.038,1.04,1.031,44163,4574231.0,0.87,0.48,0.005,0.86
2025-06-17,1.037,1.04,1.042,1.037,31953,3321506.0,0.48,0.19,0.002,0.62
2025-06-18,1.039,1.042,1.043,1.034,50153,5215253.0,0.87,0.19,0.002,0.98
2025-06-19,1.043,1.037,1.043,1.034,19873,2060970.0,0.86,-0.48,-0.005,0.39
2025-06-20,1.037,1.041,1.043,1.037,36334,3784217.0,0.58,0.39,0.004,0.71
2025-06-23,1.034,1.051,1.052,1.034,53021,5540522.0,1.73,0.96,0.01,1.03
2025-06-24,1.052,1.052,1.054,1.045,50695,5321380.0,0.86,0.1,0.001,0.99
2025-06-25,1.051,1.058,1.059,1.045,67719,7120877.0,1.33,0.57,0.006,1.32
