日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-07,1.007,1.007,1.01,1.002,2027196,203753062.0,0.8,0.8,0.008,50.06
2025-05-08,1.005,1.006,1.011,1.001,688696,69481040.0,0.99,-0.1,-0.001,17.01
2025-05-09,1.008,1.012,1.012,1.008,539657,54500984.0,0.4,0.6,0.006,13.33
2025-05-12,1.014,1.017,1.018,1.012,357570,36276540.0,0.59,0.49,0.005,8.83
2025-05-13,1.018,1.022,1.027,1.018,304265,31046510.0,0.88,0.49,0.005,7.51
2025-05-14,1.022,1.034,1.042,1.022,619350,63946650.0,1.96,1.17,0.012,15.29
2025-05-15,1.037,1.029,1.037,1.028,190603,19647257.0,0.87,-0.48,-0.005,4.71
2025-05-16,1.028,1.023,1.028,1.018,123012,12562042.0,0.97,-0.58,-0.006,3.04
2025-05-19,1.023,1.024,1.026,1.022,103001,10549697.0,0.39,0.1,0.001,2.54
2025-05-20,1.026,1.033,1.034,1.026,191361,19716706.0,0.78,0.88,0.009,4.73
2025-05-21,1.036,1.043,1.046,1.035,156964,16369798.0,1.06,0.97,0.01,3.88
2025-05-22,1.043,1.043,1.049,1.038,160946,16784890.0,1.05,0.0,0.0,3.97
2025-05-23,1.039,1.035,1.06,1.034,123257,12841163.0,2.49,-0.77,-0.008,3.04
2025-05-26,1.035,1.028,1.036,1.025,120067,12374880.0,1.06,-0.68,-0.007,2.96
2025-05-27,1.028,1.028,1.033,1.024,181428,18636764.0,0.88,0.0,0.0,4.48
2025-05-28,1.028,1.029,1.032,1.027,147556,15211741.0,0.49,0.1,0.001,3.64
2025-05-29,1.029,1.03,1.034,1.029,180106,18564339.0,0.49,0.1,0.001,4.45
2025-05-30,1.029,1.033,1.034,1.026,190087,19568667.0,0.78,0.29,0.003,4.69
2025-06-03,1.031,1.029,1.031,1.025,248191,25481990.0,0.58,-0.39,-0.004,6.13
2025-06-04,1.029,1.029,1.031,1.027,181213,18653155.0,0.39,0.0,0.0,4.47
2025-06-05,1.025,1.028,1.03,1.025,202467,20778905.0,0.49,-0.1,-0.001,5.0
2025-06-06,1.027,1.031,1.033,1.027,99001,10208804.0,0.58,0.29,0.003,2.44
2025-06-09,1.033,1.032,1.034,1.03,141508,14603918.0,0.39,0.1,0.001,3.49
2025-06-10,1.034,1.029,1.036,1.026,335874,34655552.0,0.97,-0.29,-0.003,8.29
2025-06-11,1.031,1.039,1.04,1.031,154114,15992508.0,0.87,0.97,0.01,3.81
2025-06-12,1.035,1.037,1.038,1.035,188192,19498301.0,0.29,-0.19,-0.002,4.65
2025-06-13,1.037,1.039,1.041,1.035,175608,18234221.0,0.58,0.19,0.002,4.34
2025-06-16,1.04,1.036,1.04,1.035,167533,17381812.0,0.48,-0.29,-0.003,4.14
2025-06-17,1.035,1.039,1.04,1.034,136733,14165881.0,0.58,0.29,0.003,3.38
2025-06-18,1.044,1.04,1.045,1.037,213514,22203047.0,0.77,0.1,0.001,5.27
2025-06-19,1.037,1.032,1.037,1.028,289046,29826262.0,0.87,-0.77,-0.008,7.14
2025-06-20,1.031,1.037,1.038,1.031,195666,20261041.0,0.68,0.48,0.005,4.83
