日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-11-16,1.51,1.449,1.521,1.447,6879894,1005815296.0,5.14,0.69,0.01,1.34
2020-11-17,1.449,1.436,1.452,1.429,3028638,434712928.0,1.59,-0.9,-0.013,0.59
2020-11-18,1.433,1.425,1.444,1.422,2676347,382741104.0,1.53,-0.77,-0.011,0.52
2020-11-19,1.421,1.438,1.439,1.412,2172486,310672752.0,1.89,0.91,0.013,0.42
2020-11-20,1.437,1.435,1.444,1.43,1993528,285962608.0,0.97,-0.21,-0.003,0.39
2020-11-23,1.433,1.422,1.434,1.416,2352513,334051104.0,1.25,-0.91,-0.013,0.46
2020-11-24,1.418,1.417,1.423,1.412,1851084,262408851.0,0.77,-0.35,-0.005,0.36
2020-11-25,1.418,1.395,1.419,1.392,2613339,366629344.0,1.91,-1.55,-0.022,0.51
2020-11-26,1.393,1.391,1.402,1.385,1691491,235418795.0,1.22,-0.29,-0.004,0.33
2020-11-27,1.388,1.395,1.401,1.385,1669731,232421307.0,1.15,0.29,0.004,0.33
2020-11-30,1.396,1.391,1.4,1.385,1991734,277844560.0,1.08,-0.29,-0.004,0.39
2020-12-01,1.391,1.409,1.411,1.387,2039006,286260240.0,1.73,1.29,0.018,0.4
2020-12-02,1.41,1.414,1.42,1.407,1827074,258411701.0,0.92,0.35,0.005,0.36
2020-12-03,1.414,1.415,1.42,1.402,1736760,245246795.0,1.27,0.07,0.001,0.34
2020-12-04,1.414,1.409,1.417,1.405,1516991,213762512.0,0.85,-0.42,-0.006,0.3
2020-12-07,1.41,1.409,1.419,1.408,1536394,217320621.0,0.78,0.0,0.0,0.3
2020-12-08,1.412,1.404,1.413,1.402,1409197,198115829.0,0.78,-0.35,-0.005,0.27
2020-12-09,1.404,1.373,1.408,1.37,3096951,429773648.0,2.71,-2.21,-0.031,0.6
2020-12-10,1.373,1.368,1.378,1.364,1769424,242509224.0,1.02,-0.36,-0.005,0.34
2020-12-11,1.372,1.377,1.38,1.365,1898705,260838050.0,1.1,0.66,0.009,0.37
2020-12-14,1.377,1.401,1.406,1.377,2173635,303096032.0,2.11,1.74,0.024,0.42
2020-12-15,1.402,1.393,1.407,1.386,1565028,218588718.0,1.5,-0.57,-0.008,0.3
2020-12-16,1.39,1.376,1.39,1.369,1592602,219071691.0,1.51,-1.22,-0.017,0.31
2020-12-17,1.373,1.392,1.393,1.37,1642031,226784536.0,1.67,1.16,0.016,0.32
2020-12-18,1.395,1.393,1.404,1.386,1689259,235814627.0,1.29,0.07,0.001,0.33
2020-12-21,1.392,1.417,1.418,1.383,2469162,348526896.0,2.51,1.72,0.024,0.48
2020-12-22,1.403,1.389,1.418,1.385,1957191,274524240.0,2.33,-1.98,-0.028,0.38
2020-12-23,1.391,1.404,1.406,1.385,1717216,239705343.0,1.51,1.08,0.015,0.33
2020-12-24,1.403,1.381,1.412,1.379,1855919,258128227.0,2.35,-1.64,-0.023,0.36
