日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-23,1.05,1.023,1.054,1.02,1910671,198784851.0,3.28,-1.35,-0.014,5.11
2025-01-24,1.018,1.049,1.05,1.016,1005143,104307762.0,3.32,2.54,0.026,2.69
2025-01-27,1.059,1.032,1.059,1.03,454975,47550400.0,2.76,-1.62,-0.017,1.22
2025-02-05,1.064,1.074,1.091,1.064,595308,64087585.0,2.62,4.07,0.042,1.59
2025-02-06,1.088,1.123,1.131,1.066,846054,94096786.0,6.05,4.56,0.049,2.26
2025-02-07,1.124,1.144,1.167,1.118,1077970,123325295.0,4.36,1.87,0.021,2.88
2025-02-10,1.149,1.184,1.185,1.138,888918,103841714.0,4.11,3.5,0.04,2.38
2025-02-11,1.189,1.161,1.193,1.155,718244,83975818.0,3.21,-1.94,-0.023,1.92
2025-02-12,1.158,1.174,1.175,1.15,546116,63665088.0,2.15,1.12,0.013,1.46
2025-02-13,1.174,1.142,1.175,1.141,621745,71923788.0,2.9,-2.73,-0.032,1.66
2025-02-14,1.135,1.159,1.166,1.128,604955,69515041.0,3.33,1.49,0.017,1.62
2025-02-17,1.163,1.163,1.169,1.149,584461,67805546.0,1.73,0.35,0.004,1.56
2025-02-18,1.163,1.124,1.163,1.118,742960,84568486.0,3.87,-3.35,-0.039,1.99
2025-02-19,1.124,1.162,1.163,1.123,894647,102837729.0,3.56,3.38,0.038,2.39
2025-02-20,1.161,1.17,1.18,1.15,648477,75671739.0,2.58,0.69,0.008,1.74
2025-02-21,1.176,1.24,1.242,1.168,2897424,174676158.0,6.32,5.98,0.07,7.75
2025-02-24,1.24,1.232,1.25,1.212,2385869,146679051.0,3.06,-0.65,-0.008,6.39
2025-02-25,1.202,1.254,1.272,1.192,3850755,240605234.0,6.49,1.79,0.022,10.31
2025-02-26,1.256,1.274,1.292,1.236,4041886,256588662.0,4.47,1.59,0.02,10.82
2025-02-27,1.276,1.284,1.304,1.248,4802883,306337045.0,4.4,0.78,0.01,12.85
2025-02-28,1.27,1.198,1.272,1.19,6141577,375619664.0,6.39,-6.7,-0.086,16.44
2025-03-03,1.192,1.17,1.204,1.16,4360490,256983284.0,3.67,-2.34,-0.028,11.67
2025-03-04,1.158,1.22,1.22,1.152,4305142,256648401.0,5.81,4.27,0.05,11.52
2025-03-05,1.22,1.234,1.242,1.208,4283261,263159987.0,2.79,1.15,0.014,11.46
2025-03-06,1.244,1.282,1.288,1.244,5338895,338346634.0,3.57,3.89,0.048,14.29
2025-03-07,1.272,1.256,1.278,1.246,4558750,287992548.0,2.5,-2.03,-0.026,12.2
2025-03-10,1.252,1.256,1.264,1.236,3377549,211256769.0,2.23,0.0,0.0,9.04
2025-03-11,1.232,1.252,1.254,1.23,3452545,214158234.0,1.91,-0.32,-0.004,9.24
2025-03-12,1.258,1.246,1.27,1.242,3340071,209821512.0,2.24,-0.48,-0.006,8.94
2025-03-13,1.244,1.198,1.246,1.19,4677769,283036431.0,4.49,-3.85,-0.048,12.52
2025-03-14,1.198,1.22,1.22,1.192,3551732,214705518.0,2.34,1.84,0.022,9.51
2025-03-17,1.224,1.214,1.226,1.202,2225523,134650646.0,1.97,-0.49,-0.006,5.96
2025-03-18,1.22,1.228,1.242,1.216,2434435,149351538.0,2.14,1.15,0.014,6.52
2025-03-19,1.222,1.21,1.232,1.204,2599442,157819582.0,2.28,-1.47,-0.018,6.96
2025-03-20,1.208,1.206,1.222,1.2,2609169,157847015.0,1.82,-0.33,-0.004,6.98
2025-03-21,1.198,1.16,1.2,1.154,5092384,298063620.0,3.81,-3.81,-0.046,13.63
2025-03-24,1.16,1.17,1.174,1.144,2727164,158482529.0,2.59,0.86,0.01,7.3
2025-03-25,1.168,1.138,1.17,1.134,3264557,187425764.0,3.08,-2.74,-0.032,8.74
2025-03-26,1.138,1.146,1.16,1.138,2484061,142953287.0,1.93,0.7,0.008,6.65
2025-03-27,1.144,1.16,1.184,1.14,3369608,195952203.0,3.84,1.22,0.014,9.02
2025-03-28,1.16,1.15,1.168,1.148,2036788,117571766.0,1.72,-0.86,-0.01,5.45
2025-03-31,1.14,1.162,1.164,1.13,2665901,152817428.0,2.96,1.04,0.012,7.13
2025-04-01,1.166,1.148,1.168,1.142,2270694,131156636.0,2.24,-1.2,-0.014,6.08
2025-04-02,1.144,1.148,1.16,1.142,1680454,96645899.0,1.57,0.0,0.0,4.5
2025-04-03,1.138,1.116,1.146,1.104,3658676,205053665.0,3.66,-2.79,-0.032,9.79
2025-04-07,1.04,0.96,1.052,0.918,5298211,262318105.0,12.01,-13.98,-0.156,14.18
2025-04-08,0.968,0.968,0.994,0.944,3783825,183805640.0,5.21,0.83,0.008,10.13
2025-04-09,0.942,1.004,1.024,0.926,4567247,225956355.0,10.12,3.72,0.036,12.22
2025-04-10,1.036,1.032,1.06,1.028,4345067,226329681.0,3.19,2.79,0.028,11.63
2025-04-11,1.022,1.07,1.084,1.022,3610982,190797732.0,6.01,3.68,0.038,9.66
2025-04-14,1.086,1.074,1.09,1.066,2799348,150715625.0,2.24,0.37,0.004,7.49
2025-04-15,1.07,1.062,1.078,1.05,2117158,112095620.0,2.61,-1.12,-0.012,5.67
2025-04-16,1.062,1.058,1.074,1.042,1658293,87689312.0,3.01,-0.38,-0.004,4.44
2025-04-17,1.05,1.074,1.088,1.05,2606588,140347707.0,3.59,1.51,0.016,6.98
2025-04-18,1.07,1.064,1.074,1.056,1932172,102567559.0,1.68,-0.93,-0.01,5.17
2025-04-21,1.062,1.082,1.082,1.06,1774090,95225747.0,2.07,1.69,0.018,4.75
2025-04-22,1.078,1.068,1.08,1.064,1961200,105016794.0,1.48,-1.29,-0.014,5.25
2025-04-23,1.074,1.082,1.092,1.072,2405550,130001115.0,1.87,1.31,0.014,6.44
2025-04-24,1.082,1.068,1.084,1.062,1809425,96842350.0,2.03,-1.29,-0.014,4.84
2025-04-25,1.07,1.068,1.078,1.06,1888955,101017728.0,1.69,0.0,0.0,5.06
2025-04-28,1.072,1.07,1.076,1.058,2031452,108500727.0,1.69,0.19,0.002,5.44
2025-04-29,1.068,1.08,1.084,1.06,2078941,111686668.0,2.24,0.93,0.01,5.56
2025-04-30,1.086,1.126,1.126,1.082,4388146,243714758.0,4.07,4.26,0.046,11.74
2025-05-06,1.14,1.14,1.142,1.12,3275496,185425709.0,1.95,1.24,0.014,8.77
2025-05-07,1.158,1.138,1.166,1.126,3125093,178771289.0,3.51,-0.18,-0.002,8.36
2025-05-08,1.13,1.132,1.138,1.126,1882778,106575258.0,1.05,-0.53,-0.006,5.04
2025-05-09,1.128,1.106,1.128,1.1,2628471,145659875.0,2.47,-2.3,-0.026,7.03
2025-05-12,1.112,1.124,1.124,1.106,2229229,124410899.0,1.63,1.63,0.018,5.97
2025-05-13,1.136,1.12,1.142,1.116,2514918,141838283.0,2.31,-0.36,-0.004,6.73
2025-05-14,1.118,1.118,1.132,1.108,2353829,131763144.0,2.14,-0.18,-0.002,6.3
2025-05-15,1.118,1.1,1.12,1.098,1860972,102771498.0,1.97,-1.61,-0.018,4.98
2025-05-16,1.098,1.1,1.106,1.092,1768915,97178248.0,1.27,0.0,0.0,4.73
2025-05-19,1.1,1.092,1.1,1.078,2633619,142890581.0,2.0,-0.73,-0.008,7.05
2025-05-20,1.088,1.1,1.108,1.088,1582726,86977375.0,1.83,0.73,0.008,4.24
2025-05-21,1.098,1.102,1.108,1.09,1649219,90653465.0,1.64,0.18,0.002,4.41
2025-05-22,1.096,1.104,1.114,1.096,1774251,98172852.0,1.63,0.18,0.002,4.75
2025-05-23,1.1,1.082,1.102,1.08,2419432,131730772.0,1.99,-1.99,-0.022,6.48
2025-05-26,1.084,1.082,1.086,1.07,1671935,90019419.0,1.48,0.0,0.0,4.47
2025-05-27,1.082,1.064,1.084,1.062,1778382,95026007.0,2.03,-1.66,-0.018,4.76
2025-05-28,1.064,1.064,1.07,1.06,1497556,79693431.0,0.94,0.0,0.0,4.01
2025-05-29,1.066,1.084,1.088,1.066,1769352,95563389.0,2.07,1.88,0.02,4.74
2025-05-30,1.076,1.06,1.078,1.056,1999685,106242541.0,2.03,-2.21,-0.024,5.35
2025-06-03,1.06,1.07,1.08,1.056,1777814,95504659.0,2.26,0.94,0.01,4.76
2025-06-04,1.072,1.074,1.078,1.068,1384479,74284861.0,0.93,0.37,0.004,3.71
2025-06-05,1.076,1.1,1.104,1.068,2757738,149962654.0,3.35,2.42,0.026,7.38
2025-06-06,1.1,1.102,1.108,1.09,1640502,90183192.0,1.64,0.18,0.002,4.39
2025-06-09,1.1,1.108,1.11,1.098,1766770,97655264.0,1.09,0.54,0.006,4.73
2025-06-10,1.108,1.082,1.108,1.074,2233313,121291839.0,3.07,-2.35,-0.026,5.98
2025-06-11,1.086,1.084,1.092,1.08,1937770,105280863.0,1.11,0.18,0.002,5.19
2025-06-12,1.084,1.072,1.088,1.072,2158740,116575786.0,1.48,-1.11,-0.012,5.78
2025-06-13,1.072,1.054,1.072,1.05,2183448,115565132.0,2.05,-1.68,-0.018,5.84
2025-06-16,1.046,1.058,1.064,1.046,1216185,64387560.0,1.71,0.38,0.004,3.25
2025-06-17,1.06,1.054,1.064,1.048,1421631,74954596.0,1.51,-0.38,-0.004,3.8
2025-06-18,1.05,1.062,1.066,1.046,1743422,91970890.0,1.9,0.76,0.008,4.67
2025-06-19,1.06,1.062,1.078,1.056,2204193,117906199.0,2.07,0.0,0.0,5.9
2025-06-20,1.058,1.044,1.066,1.044,1633559,85847719.0,2.07,-1.69,-0.018,4.37
2025-06-23,1.036,1.038,1.048,1.032,1684952,87471884.0,1.53,-0.57,-0.006,4.51
2025-06-24,1.042,1.062,1.066,1.04,2666167,140973628.0,2.5,2.31,0.024,7.14
2025-06-25,1.066,1.096,1.096,1.062,3228864,174065909.0,3.2,3.2,0.034,8.64
2025-06-26,1.096,1.084,1.104,1.082,2036894,111205268.0,2.01,-1.09,-0.012,5.45
2025-06-27,1.088,1.08,1.094,1.072,2089736,113214535.0,2.03,-0.37,-0.004,5.59
2025-06-30,1.082,1.102,1.102,1.082,1896800,103910123.0,1.85,2.04,0.022,5.08
2025-07-01,1.102,1.086,1.102,1.082,2024617,110260935.0,1.81,-1.45,-0.016,5.42
2025-07-02,1.086,1.07,1.086,1.064,2025382,108546113.0,2.03,-1.47,-0.016,5.42
2025-07-03,1.074,1.072,1.078,1.064,1635675,87506818.0,1.31,0.19,0.002,4.38
2025-07-04,1.072,1.064,1.078,1.056,2097613,111707243.0,2.05,-0.75,-0.008,5.61
2025-07-07,1.064,1.052,1.064,1.05,1920651,101240163.0,1.32,-1.13,-0.012,5.14
2025-07-08,1.054,1.076,1.078,1.054,2354009,125962396.0,2.28,2.28,0.024,6.3
2025-07-09,1.078,1.06,1.08,1.058,1943714,103774154.0,2.04,-1.49,-0.016,5.2
2025-07-10,1.06,1.056,1.062,1.054,2063883,109104590.0,0.75,-0.38,-0.004,5.52
2025-07-11,1.058,1.076,1.082,1.05,3013644,161321364.0,3.03,1.89,0.02,8.07
2025-07-14,1.076,1.08,1.086,1.076,1924264,104013577.0,0.93,0.37,0.004,5.15
2025-07-15,1.082,1.094,1.098,1.074,3450105,187198877.0,2.22,1.3,0.014,9.23
2025-07-16,1.098,1.102,1.124,1.094,3248920,180388327.0,2.74,0.73,0.008,8.7
2025-07-17,1.1,1.112,1.114,1.096,2443402,135124003.0,1.63,0.91,0.01,6.54
2025-07-18,1.114,1.114,1.13,1.11,1984576,110853836.0,1.8,0.18,0.002,5.31
2025-07-21,1.118,1.118,1.124,1.112,2050624,114633620.0,1.08,0.36,0.004,5.49
2025-07-22,1.118,1.108,1.118,1.102,2501532,138909377.0,1.43,-0.89,-0.01,6.69
2025-07-23,1.108,1.116,1.126,1.104,2527329,140891908.0,1.99,0.72,0.008,6.76
2025-07-24,1.112,1.128,1.13,1.112,2345267,131191187.0,1.61,1.08,0.012,6.28
2025-07-25,1.13,1.17,1.178,1.126,4707284,270230771.0,4.61,3.72,0.042,12.6
2025-07-28,1.178,1.174,1.18,1.16,3586422,209746128.0,1.71,0.34,0.004,9.6
2025-07-29,1.168,1.2,1.202,1.166,4182735,248364034.0,3.07,2.21,0.026,11.19
2025-07-30,1.196,1.188,1.208,1.178,3516338,210159195.0,2.5,-1.0,-0.012,9.41
2025-07-31,1.182,1.194,1.22,1.182,4247144,255502268.0,3.2,0.51,0.006,11.37
2025-08-01,1.202,1.18,1.206,1.162,3151949,186657328.0,3.69,-1.17,-0.014,8.44
2025-08-04,1.17,1.204,1.204,1.168,2659208,158031851.0,3.05,2.03,0.024,7.12
2025-08-05,1.204,1.204,1.208,1.196,2197441,132043118.0,1.0,0.0,0.0,5.88
2025-08-06,1.202,1.226,1.228,1.196,2834767,172204655.0,2.66,1.83,0.022,7.59
2025-08-07,1.228,1.222,1.238,1.214,2790318,171069650.0,1.96,-0.33,-0.004,7.47
2025-08-08,1.224,1.188,1.228,1.186,3943710,236153019.0,3.44,-2.78,-0.034,10.55
2025-08-11,1.184,1.208,1.212,1.184,2820657,169617838.0,2.36,1.68,0.02,7.55
2025-08-12,1.208,1.24,1.248,1.196,5352799,327409584.0,4.3,2.65,0.032,14.33
2025-08-13,1.234,1.25,1.252,1.232,3942463,245268410.0,1.61,0.81,0.01,10.55
2025-08-14,1.252,1.244,1.272,1.24,3763554,236547860.0,2.56,-0.48,-0.006,10.07
2025-08-15,1.238,1.262,1.266,1.236,2988149,187188608.0,2.41,1.45,0.018,8.0
2025-08-18,1.276,1.308,1.328,1.274,5108229,332871981.0,4.28,3.65,0.046,13.67
