日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-09,1.021,1.027,1.047,1.019,1739913,180065251.0,2.72,-0.19,-0.002,2.27
2025-01-10,1.028,1.015,1.057,1.013,903928,93926482.0,4.28,-1.17,-0.012,1.18
2025-01-13,0.983,1.005,1.013,0.983,330774,33051203.0,2.96,-0.99,-0.01,0.43
2025-01-14,1.008,1.053,1.055,1.001,510236,52879917.0,5.37,4.78,0.048,0.66
2025-01-15,1.051,1.057,1.068,1.04,553567,58538828.0,2.66,0.38,0.004,0.72
2025-01-16,1.06,1.03,1.069,1.019,577168,59964388.0,4.73,-2.55,-0.027,0.75
2025-01-17,1.028,1.049,1.063,1.02,497046,51924114.0,4.17,1.84,0.019,0.65
2025-01-20,1.06,1.054,1.065,1.047,445211,47065056.0,1.72,0.48,0.005,0.58
2025-01-21,1.064,1.101,1.106,1.064,851518,92303135.0,3.98,4.46,0.047,1.11
2025-01-22,1.095,1.1,1.101,1.084,887659,97084687.0,1.54,-0.09,-0.001,1.16
2025-01-23,1.126,1.083,1.13,1.082,976766,107877842.0,4.36,-1.55,-0.017,1.27
2025-01-24,1.083,1.115,1.116,1.08,1227054,135741116.0,3.32,2.95,0.032,1.6
2025-01-27,1.137,1.093,1.146,1.092,1843097,204407737.0,4.84,-1.97,-0.022,2.4
2025-02-05,1.122,1.145,1.159,1.122,1845590,210424983.0,3.39,4.76,0.052,2.4
2025-02-06,1.133,1.189,1.2,1.127,2115213,248906854.0,6.38,3.84,0.044,2.76
2025-02-07,1.2,1.212,1.237,1.185,3177654,385174679.0,4.37,1.93,0.023,4.14
2025-02-10,1.223,1.258,1.259,1.202,2648991,327184806.0,4.7,3.8,0.046,3.45
2025-02-11,1.26,1.231,1.265,1.225,3685458,457021362.0,3.18,-2.15,-0.027,4.8
2025-02-12,1.224,1.247,1.248,1.218,2863773,354105477.0,2.44,1.3,0.016,3.73
2025-02-13,1.247,1.212,1.247,1.211,2523229,309530404.0,2.89,-2.81,-0.035,3.29
2025-02-14,1.205,1.229,1.238,1.194,2180953,266170007.0,3.63,1.4,0.017,2.84
2025-02-17,1.235,1.233,1.241,1.216,2178012,267685407.0,2.03,0.33,0.004,2.84
2025-02-18,1.223,1.193,1.232,1.182,2225921,268285500.0,4.06,-3.24,-0.04,2.9
2025-02-19,1.189,1.232,1.235,1.188,2767185,337503664.0,3.94,3.27,0.039,3.61
2025-02-20,1.235,1.238,1.252,1.222,1967880,243512557.0,2.44,0.49,0.006,2.56
2025-02-21,1.246,1.311,1.312,1.235,3313833,421157109.0,6.22,5.9,0.073,4.32
2025-02-24,1.311,1.308,1.327,1.282,2475945,322132997.0,3.43,-0.23,-0.003,3.23
2025-02-25,1.28,1.333,1.346,1.27,2686532,353074884.0,5.81,1.91,0.025,3.5
2025-02-26,1.332,1.355,1.366,1.312,3287762,441014667.0,4.05,1.65,0.022,4.28
2025-02-27,1.35,1.363,1.381,1.324,2978765,402700062.0,4.21,0.59,0.008,3.88
2025-02-28,1.347,1.273,1.347,1.262,5323070,688814980.0,6.24,-6.6,-0.09,6.94
2025-03-03,1.273,1.242,1.278,1.231,3922170,489823128.0,3.69,-2.44,-0.031,5.11
2025-03-04,1.226,1.289,1.296,1.221,4018578,509264864.0,6.04,3.78,0.047,5.24
2025-03-05,1.29,1.308,1.317,1.28,3074671,400202489.0,2.87,1.47,0.019,4.01
2025-03-06,1.34,1.36,1.368,1.328,4083027,549490377.0,3.06,3.98,0.052,5.32
2025-03-07,1.36,1.333,1.36,1.321,4774023,639643154.0,2.87,-1.99,-0.027,6.22
2025-03-10,1.321,1.332,1.339,1.309,2776412,367893478.0,2.25,-0.08,-0.001,3.62
2025-03-11,1.3,1.327,1.329,1.3,2470829,325034605.0,2.18,-0.38,-0.005,3.22
2025-03-12,1.332,1.319,1.346,1.318,3259944,434294740.0,2.11,-0.6,-0.008,4.25
2025-03-13,1.312,1.268,1.319,1.261,5182204,664654738.0,4.4,-3.87,-0.051,6.75
2025-03-14,1.268,1.294,1.294,1.266,3500499,448620384.0,2.21,2.05,0.026,4.56
2025-03-17,1.289,1.288,1.291,1.272,2060547,264042570.0,1.47,-0.46,-0.006,2.68
2025-03-18,1.297,1.301,1.316,1.29,2057261,267626763.0,2.02,1.01,0.013,2.68
2025-03-19,1.294,1.282,1.308,1.276,3953572,254645830.0,2.46,-1.46,-0.019,5.15
2025-03-20,1.276,1.274,1.296,1.272,4328226,277551145.0,1.87,-0.62,-0.008,5.64
2025-03-21,1.268,1.23,1.272,1.222,6267847,388511362.0,3.92,-3.45,-0.044,8.17
2025-03-24,1.228,1.244,1.246,1.212,4549601,280230114.0,2.76,1.14,0.014,5.93
2025-03-25,1.238,1.208,1.24,1.202,4816516,293277607.0,3.05,-2.89,-0.036,6.28
2025-03-26,1.202,1.212,1.23,1.202,4496750,273845142.0,2.32,0.33,0.004,5.86
2025-03-27,1.212,1.232,1.254,1.204,4909545,302116959.0,4.13,1.65,0.02,6.4
2025-03-28,1.228,1.216,1.238,1.216,3051313,186808779.0,1.79,-1.3,-0.016,3.98
2025-03-31,1.204,1.232,1.236,1.196,4762664,289267564.0,3.29,1.32,0.016,6.21
2025-04-01,1.236,1.216,1.24,1.21,5462124,335031908.0,2.44,-1.3,-0.016,7.12
2025-04-02,1.208,1.216,1.23,1.208,2767811,168581659.0,1.81,0.0,0.0,3.61
2025-04-03,1.2,1.18,1.216,1.17,5501086,327034589.0,3.78,-2.96,-0.036,7.17
2025-04-07,1.08,1.02,1.114,0.97,9154416,481183101.0,12.2,-13.56,-0.16,11.93
2025-04-08,1.024,1.026,1.054,1.002,5874782,301825479.0,5.1,0.59,0.006,7.65
2025-04-09,0.996,1.064,1.084,0.98,8003714,419557465.0,10.14,3.7,0.038,10.43
2025-04-10,1.094,1.094,1.122,1.088,6798750,374693821.0,3.2,2.82,0.03,8.86
2025-04-11,1.08,1.134,1.148,1.08,5953178,333559999.0,6.22,3.66,0.04,7.76
2025-04-14,1.152,1.138,1.158,1.128,5582789,318257016.0,2.65,0.35,0.004,7.27
2025-04-15,1.132,1.126,1.14,1.112,3346082,187860594.0,2.46,-1.05,-0.012,4.36
2025-04-16,1.126,1.122,1.138,1.106,3023785,169474900.0,2.84,-0.36,-0.004,3.94
2025-04-17,1.114,1.136,1.152,1.114,3925157,224018414.0,3.39,1.25,0.014,5.11
2025-04-18,1.13,1.126,1.138,1.116,2777784,156117729.0,1.94,-0.88,-0.01,3.62
2025-04-21,1.13,1.146,1.148,1.12,3476758,197751745.0,2.49,1.78,0.02,4.53
2025-04-22,1.14,1.132,1.146,1.128,2847043,161563089.0,1.57,-1.22,-0.014,3.71
2025-04-23,1.14,1.148,1.156,1.136,3877186,221989061.0,1.77,1.41,0.016,5.05
2025-04-24,1.152,1.13,1.152,1.126,3232698,183558528.0,2.26,-1.57,-0.018,4.21
2025-04-25,1.13,1.132,1.142,1.124,3569212,202161757.0,1.59,0.18,0.002,4.65
2025-04-28,1.136,1.132,1.142,1.12,3068115,173721641.0,1.94,0.0,0.0,4.0
2025-04-29,1.13,1.144,1.148,1.124,2850714,162172371.0,2.12,1.06,0.012,3.71
2025-04-30,1.148,1.19,1.192,1.146,7013364,412235641.0,4.02,4.02,0.046,9.14
2025-05-06,1.202,1.208,1.21,1.188,4994276,299684289.0,1.85,1.51,0.018,6.51
2025-05-07,1.23,1.206,1.236,1.192,5523262,334971093.0,3.64,-0.17,-0.002,7.2
2025-05-08,1.198,1.2,1.206,1.194,3944718,236549150.0,1.0,-0.5,-0.006,5.14
2025-05-09,1.196,1.17,1.196,1.164,4003127,235176301.0,2.67,-2.5,-0.03,5.22
2025-05-12,1.176,1.19,1.19,1.172,3341591,197469699.0,1.54,1.71,0.02,4.35
2025-05-13,1.204,1.184,1.21,1.184,3499218,209308016.0,2.18,-0.5,-0.006,4.56
2025-05-14,1.186,1.188,1.2,1.174,4571888,271651272.0,2.2,0.34,0.004,5.96
2025-05-15,1.188,1.166,1.188,1.162,3138148,183669887.0,2.19,-1.85,-0.022,4.09
2025-05-16,1.16,1.162,1.17,1.158,2493557,145105840.0,1.03,-0.34,-0.004,3.25
2025-05-19,1.164,1.156,1.166,1.144,2855213,164504685.0,1.89,-0.52,-0.006,3.72
2025-05-20,1.158,1.172,1.174,1.152,5247481,305469199.0,1.9,1.38,0.016,6.84
2025-05-21,1.17,1.166,1.174,1.154,3874354,225598932.0,1.71,-0.51,-0.006,5.05
2025-05-22,1.16,1.17,1.18,1.16,3047889,178641876.0,1.72,0.34,0.004,3.97
2025-05-23,1.166,1.144,1.166,1.144,4444527,256058061.0,1.88,-2.22,-0.026,5.79
2025-05-26,1.144,1.146,1.15,1.134,2456713,140177386.0,1.4,0.17,0.002,3.2
2025-05-27,1.146,1.126,1.148,1.126,2550476,144668825.0,1.92,-1.75,-0.02,3.32
2025-05-28,1.13,1.128,1.134,1.122,3119677,176175044.0,1.07,0.18,0.002,4.06
2025-05-29,1.132,1.15,1.152,1.13,3731301,213397813.0,1.95,1.95,0.022,4.86
2025-05-30,1.14,1.126,1.142,1.12,3030454,170637314.0,1.91,-2.09,-0.024,3.95
2025-06-03,1.118,1.134,1.144,1.118,2931759,166830759.0,2.31,0.71,0.008,3.82
2025-06-04,1.136,1.136,1.144,1.132,5047884,287535608.0,1.06,0.18,0.002,6.58
2025-06-05,1.138,1.166,1.168,1.132,5723385,328608885.0,3.17,2.64,0.03,7.46
2025-06-06,1.162,1.168,1.174,1.156,3512624,204403944.0,1.54,0.17,0.002,4.58
2025-06-09,1.166,1.174,1.176,1.162,2547907,149088080.0,1.2,0.51,0.006,3.32
2025-06-10,1.172,1.146,1.172,1.138,4678551,269000871.0,2.9,-2.39,-0.028,6.1
2025-06-11,1.146,1.148,1.158,1.144,2472442,142397393.0,1.22,0.17,0.002,3.22
2025-06-12,1.144,1.136,1.152,1.134,3432818,196214380.0,1.57,-1.05,-0.012,4.47
2025-06-13,1.132,1.116,1.136,1.112,4169457,233754531.0,2.11,-1.76,-0.02,5.43
2025-06-16,1.11,1.126,1.132,1.108,1837023,103258059.0,2.15,0.9,0.01,2.39
2025-06-17,1.126,1.118,1.13,1.114,2114950,118469970.0,1.42,-0.71,-0.008,2.76
2025-06-18,1.116,1.13,1.132,1.112,2456007,137850161.0,1.79,1.07,0.012,3.2
2025-06-19,1.13,1.128,1.146,1.122,2793528,158592401.0,2.12,-0.18,-0.002,3.64
2025-06-20,1.128,1.11,1.132,1.108,3041586,169970500.0,2.13,-1.6,-0.018,3.96
2025-06-23,1.102,1.102,1.114,1.098,3177515,175221530.0,1.44,-0.72,-0.008,4.14
2025-06-24,1.106,1.13,1.132,1.104,4230982,237249838.0,2.54,2.54,0.028,5.51
2025-06-25,1.136,1.166,1.166,1.13,11765648,676190024.0,3.19,3.19,0.036,15.33
2025-06-26,1.166,1.152,1.174,1.148,6068932,352865620.0,2.23,-1.2,-0.014,7.91
2025-06-27,1.16,1.148,1.162,1.14,3544773,204032066.0,1.91,-0.35,-0.004,4.62
2025-06-30,1.15,1.17,1.17,1.15,4031538,234544705.0,1.74,1.92,0.022,5.25
2025-07-01,1.172,1.154,1.172,1.15,4317981,249845511.0,1.88,-1.37,-0.016,5.63
2025-07-02,1.154,1.138,1.154,1.132,3612657,205819439.0,1.91,-1.39,-0.016,4.71
2025-07-03,1.136,1.138,1.144,1.132,3017030,171541723.0,1.05,0.0,0.0,3.93
2025-07-04,1.136,1.13,1.146,1.122,3381463,191581439.0,2.11,-0.7,-0.008,4.41
2025-07-07,1.126,1.12,1.128,1.114,2603884,145839298.0,1.24,-0.88,-0.01,3.39
2025-07-08,1.122,1.144,1.146,1.122,3684708,209429396.0,2.14,2.14,0.024,4.8
2025-07-09,1.148,1.128,1.148,1.124,3037135,172324675.0,2.1,-1.4,-0.016,3.96
2025-07-10,1.122,1.122,1.128,1.118,2678879,150447873.0,0.89,-0.53,-0.006,3.49
2025-07-11,1.124,1.144,1.15,1.116,5222374,296763728.0,3.03,1.96,0.022,6.8
2025-07-14,1.146,1.148,1.154,1.142,3397597,194953500.0,1.05,0.35,0.004,4.43
2025-07-15,1.146,1.166,1.166,1.142,9210719,531924629.0,2.09,1.57,0.018,12.0
2025-07-16,1.17,1.172,1.192,1.164,4751419,279852741.0,2.4,0.51,0.006,6.19
2025-07-17,1.168,1.182,1.184,1.164,4252655,250072700.0,1.71,0.85,0.01,5.54
2025-07-18,1.186,1.186,1.2,1.178,4078024,241911821.0,1.86,0.34,0.004,5.31
2025-07-21,1.188,1.188,1.194,1.18,3689369,218754376.0,1.18,0.17,0.002,4.81
2025-07-22,1.186,1.178,1.186,1.17,3178653,187278086.0,1.35,-0.84,-0.01,4.14
2025-07-23,1.174,1.182,1.194,1.17,3500081,207043438.0,2.04,0.34,0.004,4.56
2025-07-24,1.18,1.192,1.192,1.176,3754072,222734191.0,1.35,0.85,0.01,4.89
2025-07-25,1.196,1.248,1.25,1.192,13660058,834677341.0,4.87,4.7,0.056,17.8
2025-07-28,1.246,1.246,1.252,1.232,9278492,576345611.0,1.6,-0.16,-0.002,12.09
2025-07-29,1.24,1.272,1.276,1.238,11812413,745867230.0,3.05,2.09,0.026,15.39
2025-07-30,1.272,1.26,1.282,1.25,9770223,619685958.0,2.52,-0.94,-0.012,12.73
2025-07-31,1.256,1.268,1.296,1.252,10919459,697455138.0,3.49,0.63,0.008,14.23
2025-08-01,1.27,1.252,1.28,1.232,8313413,522153788.0,3.79,-1.26,-0.016,10.83
2025-08-04,1.24,1.278,1.28,1.24,6243431,394899853.0,3.19,2.08,0.026,8.13
2025-08-05,1.282,1.278,1.282,1.27,7630861,486759863.0,0.94,0.0,0.0,9.94
2025-08-06,1.278,1.302,1.304,1.27,7179858,463395573.0,2.66,1.88,0.024,9.35
2025-08-07,1.304,1.296,1.314,1.288,8018402,521709599.0,2.0,-0.46,-0.006,10.45
2025-08-08,1.294,1.26,1.294,1.26,9055939,575606787.0,2.62,-2.78,-0.036,11.8
2025-08-11,1.258,1.28,1.286,1.258,6491058,414639830.0,2.22,1.59,0.02,8.46
2025-08-12,1.28,1.314,1.324,1.27,9777194,635487942.0,4.22,2.66,0.034,12.74
2025-08-13,1.31,1.328,1.33,1.31,7562123,499500187.0,1.52,1.07,0.014,9.85
2025-08-14,1.328,1.32,1.35,1.314,8606178,573803070.0,2.71,-0.6,-0.008,11.21
2025-08-15,1.314,1.34,1.344,1.312,6728711,448370841.0,2.42,1.52,0.02,8.77
2025-08-18,1.356,1.39,1.41,1.352,10558080,732485646.0,4.33,3.73,0.05,13.76
2025-08-19,1.388,1.402,1.426,1.38,8240835,579196010.0,3.31,0.86,0.012,10.74
2025-08-20,1.392,1.462,1.468,1.38,15931243,1137119049.0,6.28,4.28,0.06,20.76
2025-08-21,1.462,1.45,1.498,1.436,9871090,723339233.0,4.24,-0.82,-0.012,12.86
2025-08-22,1.462,1.574,1.576,1.462,14030182,1067625448.0,7.86,8.55,0.124,18.28
2025-08-25,1.612,1.626,1.672,1.57,15005402,1213103165.0,6.48,3.3,0.052,19.55
2025-08-26,1.596,1.59,1.616,1.578,11329487,903727185.0,2.34,-2.21,-0.036,14.76
2025-08-27,1.62,1.638,1.726,1.616,20500981,1708049140.0,6.92,3.02,0.048,26.71
2025-08-28,1.636,1.734,1.74,1.632,24342971,2044055967.0,6.59,5.86,0.096,31.72
2025-08-29,1.702,1.712,1.72,1.676,16877471,1430372858.0,2.54,-1.27,-0.022,21.99
2025-09-01,1.718,1.702,1.75,1.672,12875738,1095960156.0,4.56,-0.58,-0.01,16.78
2025-09-02,1.7,1.648,1.708,1.63,12563510,1049051052.0,4.58,-3.17,-0.054,16.37
2025-09-03,1.634,1.61,1.652,1.6,9018270,733802242.0,3.16,-2.31,-0.038,11.75
2025-09-04,1.606,1.498,1.608,1.468,12292143,945703527.0,8.7,-6.96,-0.112,16.02
2025-09-05,1.496,1.552,1.56,1.488,10960133,832521873.0,4.81,3.6,0.054,14.28
2025-09-08,1.552,1.55,1.558,1.522,5304619,409217334.0,2.32,-0.13,-0.002,6.91
2025-09-09,1.538,1.526,1.554,1.518,5162920,396402276.0,2.32,-1.55,-0.024,6.73
2025-09-10,1.524,1.544,1.566,1.524,5969920,462525952.0,2.75,1.18,0.018,7.78
2025-09-11,1.542,1.614,1.624,1.528,11787150,937383404.0,6.22,4.53,0.07,15.36
2025-09-12,1.624,1.666,1.692,1.624,11044221,916052464.0,4.21,3.22,0.052,14.39
2025-09-15,1.674,1.644,1.684,1.618,6676508,548909838.0,3.96,-1.32,-0.022,8.7
2025-09-16,1.648,1.676,1.688,1.646,8145027,678615485.0,2.55,1.95,0.032,10.61
2025-09-17,1.66,1.67,1.688,1.638,6398297,532937949.0,2.98,-0.36,-0.006,8.34
2025-09-18,1.68,1.67,1.736,1.63,14178733,1193458338.0,6.35,0.0,0.0,18.47
2025-09-19,1.662,1.634,1.684,1.628,9414841,777771930.0,3.35,-2.16,-0.036,12.27
2025-09-22,1.638,1.704,1.71,1.638,10324096,870438333.0,4.41,4.28,0.07,13.45
2025-09-23,1.706,1.678,1.714,1.626,10712760,890002928.0,5.16,-1.53,-0.026,13.96
2025-09-24,1.662,1.716,1.736,1.652,9941381,842352980.0,5.01,2.26,0.038,12.95
2025-09-25,1.718,1.74,1.756,1.706,7618854,662456112.0,2.91,1.4,0.024,9.93
2025-09-26,1.722,1.688,1.742,1.682,6499146,556085348.0,3.45,-2.99,-0.052,8.47
2025-09-29,1.686,1.706,1.71,1.654,5585620,470583120.0,3.32,1.07,0.018,7.28
2025-09-30,1.73,1.76,1.766,1.72,7242648,633325052.0,2.7,3.17,0.054,9.44
2025-10-09,1.788,1.798,1.834,1.764,7314428,658478351.0,3.98,2.16,0.038,9.53
2025-10-10,1.772,1.692,1.776,1.676,8889896,763918992.0,5.56,-5.9,-0.106,11.58
2025-10-13,1.616,1.686,1.712,1.614,6523143,548361004.0,5.79,-0.35,-0.006,8.5
2025-10-14,1.704,1.618,1.712,1.602,7288198,602224198.0,6.52,-4.03,-0.068,9.5
2025-10-15,1.626,1.632,1.634,1.582,6145133,495454899.0,3.21,0.87,0.014,8.01
2025-10-16,1.628,1.612,1.646,1.602,4216926,342953887.0,2.7,-1.23,-0.02,5.49
2025-10-17,1.6,1.548,1.612,1.544,6080778,477190621.0,4.22,-3.97,-0.064,7.92
2025-10-20,1.576,1.556,1.594,1.542,4679444,367427811.0,3.36,0.52,0.008,6.1
2025-10-21,1.562,1.602,1.606,1.556,4498916,357113129.0,3.21,2.96,0.046,5.86
2025-10-22,1.59,1.608,1.626,1.576,3172706,253889215.0,3.12,0.37,0.006,4.13
2025-10-23,1.6,1.602,1.606,1.57,2742807,217222506.0,2.24,-0.37,-0.006,3.57
2025-10-24,1.622,1.67,1.674,1.622,6522411,538197822.0,3.25,4.24,0.068,8.5
2025-10-27,1.7,1.686,1.702,1.654,5163706,433016377.0,2.87,0.96,0.016,6.73
2025-10-28,1.676,1.68,1.702,1.664,4833055,407281732.0,2.25,-0.36,-0.006,6.3
2025-10-29,1.672,1.682,1.688,1.652,4002348,334269909.0,2.14,0.12,0.002,5.21
2025-10-30,1.678,1.652,1.688,1.648,4626808,385844420.0,2.38,-1.78,-0.03,6.03
2025-10-31,1.64,1.624,1.654,1.608,4509651,367528816.0,2.78,-1.69,-0.028,5.88
2025-11-03,1.614,1.608,1.62,1.578,3967095,317083503.0,2.59,-0.99,-0.016,5.17
2025-11-04,1.61,1.574,1.61,1.56,3571137,282263910.0,3.11,-2.11,-0.034,4.65
2025-11-05,1.544,1.558,1.564,1.532,3577274,276907594.0,2.03,-1.02,-0.016,4.66
2025-11-06,1.562,1.598,1.6,1.558,3934431,310928495.0,2.7,2.57,0.04,5.13
2025-11-07,1.58,1.562,1.58,1.558,3499388,274293736.0,1.38,-2.25,-0.036,4.56
2025-11-10,1.564,1.544,1.58,1.526,3396232,261917091.0,3.46,-1.15,-0.018,4.42
2025-11-11,1.552,1.52,1.558,1.516,3345194,256201631.0,2.72,-1.55,-0.024,4.36
2025-11-12,1.51,1.51,1.52,1.49,3199092,240656324.0,1.97,-0.66,-0.01,4.17
2025-11-13,1.506,1.534,1.54,1.502,3086621,235285254.0,2.52,1.59,0.024,4.02
2025-11-14,1.518,1.49,1.52,1.49,3086612,232302481.0,1.96,-2.87,-0.044,4.02
2025-11-17,1.49,1.5,1.51,1.488,2322880,174110539.0,1.48,0.67,0.01,3.03
2025-11-18,1.496,1.518,1.524,1.488,3581725,271187401.0,2.4,1.2,0.018,4.67
2025-11-19,1.516,1.502,1.526,1.496,2507965,189517013.0,1.98,-1.05,-0.016,3.27
2025-11-20,1.516,1.488,1.53,1.486,2685441,201425583.0,2.93,-0.93,-0.014,3.5
2025-11-21,1.47,1.452,1.478,1.444,4350917,318103400.0,2.28,-2.42,-0.036,5.67
2025-11-24,1.464,1.474,1.486,1.434,3425960,250170656.0,3.58,1.52,0.022,4.46
2025-11-25,1.498,1.504,1.526,1.49,6088779,459606839.0,2.44,2.04,0.03,7.93
2025-11-26,1.492,1.518,1.534,1.492,4146652,315351348.0,2.79,0.93,0.014,5.4
2025-11-27,1.524,1.514,1.548,1.508,4128669,316030570.0,2.64,-0.26,-0.004,5.38
2025-11-28,1.506,1.524,1.528,1.502,2487229,188886407.0,1.72,0.66,0.01,3.24
2025-12-01,1.528,1.55,1.556,1.506,3228405,247204441.0,3.28,1.71,0.026,4.21
2025-12-02,1.548,1.522,1.55,1.516,3086159,235895307.0,2.19,-1.81,-0.028,4.02
2025-12-03,1.522,1.5,1.526,1.496,2160793,163034930.0,1.97,-1.45,-0.022,2.82
2025-12-04,1.5,1.512,1.514,1.478,2225026,166609364.0,2.4,0.8,0.012,2.9
2025-12-05,1.51,1.516,1.52,1.486,2478769,186648470.0,2.25,0.26,0.004,3.23
2025-12-08,1.522,1.536,1.548,1.516,3751312,287893105.0,2.11,1.32,0.02,4.89
2025-12-09,1.528,1.526,1.546,1.518,2941038,225192959.0,1.82,-0.65,-0.01,3.83
2025-12-10,1.516,1.534,1.534,1.496,2729658,206561152.0,2.49,0.52,0.008,3.56
2025-12-11,1.534,1.498,1.538,1.496,2918658,220680659.0,2.74,-2.35,-0.036,3.8
2025-12-12,1.498,1.534,1.538,1.486,4204917,318628646.0,3.47,2.4,0.036,5.48
2025-12-15,1.52,1.496,1.52,1.494,2954634,222761153.0,1.69,-2.48,-0.038,3.85
2025-12-16,1.49,1.466,1.496,1.46,3316475,244697505.0,2.41,-2.01,-0.03,4.32
