日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-23,0.988,0.979,0.988,0.971,514729,50507391.0,1.72,-1.11,-0.011,16.88
2024-08-26,0.973,0.972,0.989,0.965,396538,38599975.0,2.45,-0.72,-0.007,13.01
2024-08-27,0.97,0.974,0.983,0.97,176655,17268245.0,1.34,0.21,0.002,5.79
2024-08-28,0.974,0.97,0.98,0.969,55762,5425864.0,1.13,-0.41,-0.004,1.83
2024-08-29,0.967,0.986,0.987,0.967,113639,11127115.0,2.06,1.65,0.016,3.73
2024-08-30,0.978,0.999,1.003,0.978,185515,18493701.0,2.54,1.32,0.013,6.08
2024-09-02,0.989,0.968,0.989,0.967,48193,4692995.0,2.2,-3.1,-0.031,1.58
2024-09-03,0.966,0.974,0.99,0.966,57744,5657597.0,2.48,0.62,0.006,1.89
2024-09-04,0.965,0.977,0.987,0.949,55840,5403952.0,3.9,0.31,0.003,1.83
2024-09-05,0.977,0.986,0.995,0.977,174781,17260390.0,1.84,0.92,0.009,5.73
2024-09-06,0.991,0.969,0.991,0.969,21826,2127211.0,2.23,-1.72,-0.017,0.72
2024-09-09,0.97,0.958,0.977,0.955,29846,2877207.0,2.27,-1.14,-0.011,0.98
2024-09-10,0.963,0.954,0.963,0.943,18252,1738087.0,2.09,-0.42,-0.004,0.6
2024-09-11,0.954,0.97,0.974,0.954,30564,2961604.0,2.1,1.68,0.016,1.0
2024-09-12,0.974,0.963,0.986,0.962,50433,4901101.0,2.47,-0.72,-0.007,1.65
2024-09-13,0.958,0.95,0.964,0.949,86072,8221147.0,1.56,-1.35,-0.013,2.82
2024-09-18,0.945,0.942,0.951,0.935,46169,4353196.0,1.68,-0.84,-0.008,1.51
2024-09-19,0.94,0.945,0.96,0.935,51328,4868086.0,2.65,0.32,0.003,1.68
2024-09-20,0.943,0.925,0.943,0.92,93579,8683002.0,2.43,-2.12,-0.02,3.07
2024-09-23,0.929,0.911,0.933,0.909,34573,3165063.0,2.59,-1.51,-0.014,1.13
2024-09-24,0.912,0.938,0.939,0.903,47689,4423912.0,3.95,2.96,0.027,1.56
2024-09-25,0.943,0.939,0.961,0.939,30790,2937589.0,2.35,0.11,0.001,1.01
2024-09-26,0.942,0.985,0.987,0.933,72640,7069820.0,5.75,4.9,0.046,2.38
2024-09-27,0.99,1.034,1.034,0.988,118295,11950617.0,4.67,4.97,0.049,3.88
2024-09-30,1.1,1.24,1.241,1.081,754166,85871638.0,15.47,19.92,0.206,24.74
2024-10-08,1.488,1.483,1.488,1.306,4979143,689608291.0,14.68,19.6,0.243,163.31
2024-10-09,1.35,1.218,1.36,1.2,2187664,281562791.0,10.79,-17.87,-0.265,71.75
2024-10-10,1.23,1.205,1.299,1.202,1129854,140598011.0,7.96,-1.07,-0.013,37.06
2024-10-11,1.193,1.137,1.202,1.12,932066,107813520.0,6.8,-5.64,-0.068,30.57
2024-10-14,1.141,1.149,1.157,1.1,721264,81591368.0,5.01,1.06,0.012,23.66
2024-10-15,1.138,1.112,1.154,1.11,518346,58732992.0,3.83,-3.22,-0.037,17.0
2024-10-16,1.091,1.103,1.124,1.091,400184,44278195.0,2.97,-0.81,-0.009,13.13
2024-10-17,1.104,1.097,1.119,1.096,395339,43849210.0,2.09,-0.54,-0.006,12.97
2024-10-18,1.096,1.169,1.206,1.091,763074,87541189.0,10.48,6.56,0.072,25.03
2024-10-21,1.17,1.179,1.193,1.142,811795,95076880.0,4.36,0.86,0.01,26.63
2024-10-22,1.175,1.168,1.178,1.146,737023,85831049.0,2.71,-0.93,-0.011,24.17
2024-10-23,1.166,1.174,1.188,1.158,663825,77719795.0,2.57,0.51,0.006,21.77
2024-10-24,1.172,1.17,1.182,1.165,549792,64526694.0,1.45,-0.34,-0.004,18.03
2024-10-25,1.167,1.198,1.204,1.156,774291,91589676.0,4.1,2.39,0.028,25.4
2024-10-28,1.2,1.203,1.209,1.182,766811,91667348.0,2.25,0.42,0.005,25.15
2024-10-29,1.198,1.165,1.2,1.16,894911,105234936.0,3.33,-3.16,-0.038,29.35
2024-10-30,1.164,1.146,1.174,1.137,411359,47360180.0,3.18,-1.63,-0.019,13.49
2024-10-31,1.143,1.143,1.155,1.134,405445,46320111.0,1.83,-0.26,-0.003,13.3
2024-11-01,1.133,1.143,1.157,1.133,399840,45844389.0,2.1,0.0,0.0,13.11
2024-11-04,1.15,1.148,1.161,1.141,310953,35721485.0,1.75,0.44,0.005,10.2
2024-11-05,1.151,1.174,1.178,1.132,900451,104641404.0,4.01,2.26,0.026,29.53
2024-11-06,1.174,1.162,1.189,1.155,798253,93493375.0,2.9,-1.02,-0.012,26.18
2024-11-07,1.154,1.193,1.193,1.148,722944,85043583.0,3.87,2.67,0.031,23.71
2024-11-08,1.225,1.193,1.226,1.191,739043,89119897.0,2.93,0.0,0.0,24.24
2024-11-11,1.181,1.237,1.242,1.179,860638,104577300.0,5.28,3.69,0.044,28.23
2024-11-12,1.248,1.253,1.282,1.234,1498654,188595732.0,3.88,1.29,0.016,49.15
2024-11-13,1.237,1.235,1.255,1.21,776897,95446407.0,3.59,-1.44,-0.018,25.48
2024-11-14,1.23,1.189,1.23,1.188,556831,67388371.0,3.4,-3.72,-0.046,18.26
2024-11-15,1.181,1.155,1.197,1.15,494878,58165046.0,3.95,-2.86,-0.034,16.23
2024-11-18,1.154,1.129,1.161,1.121,416040,47466939.0,3.46,-2.25,-0.026,13.65
2024-11-19,1.13,1.155,1.156,1.122,421208,47996557.0,3.01,2.3,0.026,13.82
2024-11-20,1.156,1.199,1.206,1.143,750404,89117646.0,5.45,3.81,0.044,24.61
2024-11-21,1.198,1.191,1.209,1.182,392971,46857121.0,2.25,-0.67,-0.008,12.89
2024-11-22,1.19,1.137,1.19,1.134,367714,42551754.0,4.7,-4.53,-0.054,12.06
2024-11-25,1.131,1.145,1.159,1.127,303639,34748800.0,2.81,0.7,0.008,9.96
2024-11-26,1.143,1.143,1.171,1.142,208904,24135226.0,2.53,-0.17,-0.002,6.85
2024-11-27,1.144,1.179,1.18,1.14,504983,58550103.0,3.5,3.15,0.036,16.56
2024-11-28,1.177,1.164,1.184,1.162,485270,56800344.0,1.87,-1.27,-0.015,15.92
2024-11-29,1.164,1.187,1.199,1.158,604775,71583983.0,3.52,1.98,0.023,19.84
2024-12-02,1.19,1.208,1.22,1.185,577267,69571165.0,2.95,1.77,0.021,18.93
2024-12-03,1.206,1.204,1.213,1.193,305443,36668593.0,1.66,-0.33,-0.004,10.02
2024-12-04,1.204,1.184,1.204,1.18,357044,42621288.0,1.99,-1.66,-0.02,11.71
2024-12-05,1.178,1.184,1.193,1.178,160035,18946668.0,1.27,0.0,0.0,5.25
2024-12-06,1.186,1.207,1.212,1.181,401736,48161368.0,2.62,1.94,0.023,13.18
2024-12-09,1.215,1.193,1.217,1.186,274891,32985023.0,2.57,-1.16,-0.014,9.02
2024-12-10,1.228,1.196,1.243,1.192,396131,48119994.0,4.27,0.25,0.003,12.99
2024-12-11,1.191,1.196,1.204,1.189,205856,24635151.0,1.25,0.0,0.0,6.75
2024-12-12,1.194,1.201,1.203,1.186,257889,30816634.0,1.42,0.42,0.005,8.46
2024-12-13,1.196,1.171,1.196,1.168,529981,62567348.0,2.33,-2.5,-0.03,17.38
2024-12-16,1.171,1.158,1.171,1.15,240655,27841152.0,1.79,-1.11,-0.013,7.89
2024-12-17,1.159,1.147,1.159,1.144,260168,29949975.0,1.3,-0.95,-0.011,8.53
2024-12-18,1.149,1.145,1.155,1.144,184208,21166066.0,0.96,-0.17,-0.002,6.04
2024-12-19,1.13,1.137,1.14,1.127,188841,21408278.0,1.14,-0.7,-0.008,6.19
2024-12-20,1.135,1.13,1.142,1.127,249301,28265548.0,1.32,-0.62,-0.007,8.18
2024-12-23,1.129,1.115,1.133,1.112,351990,39363078.0,1.86,-1.33,-0.015,11.54
2024-12-24,1.113,1.125,1.126,1.113,218721,24506365.0,1.17,0.9,0.01,7.17
2024-12-25,1.136,1.115,1.137,1.108,290978,32452245.0,2.58,-0.89,-0.01,9.54
2024-12-26,1.115,1.113,1.125,1.112,180386,20111378.0,1.17,-0.18,-0.002,5.92
2024-12-27,1.115,1.12,1.128,1.109,227022,25458925.0,1.71,0.63,0.007,7.45
2024-12-30,1.12,1.115,1.127,1.111,175121,19576944.0,1.43,-0.45,-0.005,5.74
2024-12-31,1.117,1.1,1.119,1.1,174645,19361505.0,1.7,-1.35,-0.015,5.73
2025-01-02,1.1,1.084,1.105,1.074,439176,47730945.0,2.82,-1.45,-0.016,14.4
2025-01-03,1.082,1.076,1.1,1.073,259844,28187538.0,2.49,-0.74,-0.008,8.52
2025-01-06,1.077,1.082,1.097,1.074,218325,23689806.0,2.14,0.56,0.006,7.16
2025-01-07,1.079,1.07,1.079,1.057,307037,32729257.0,2.03,-1.11,-0.012,10.07
2025-01-08,1.062,1.059,1.068,1.038,197631,20820325.0,2.8,-1.03,-0.011,6.48
2025-01-09,1.051,1.052,1.066,1.048,135218,14296980.0,1.7,-0.66,-0.007,4.43
2025-01-10,1.052,1.037,1.06,1.037,182426,19115638.0,2.19,-1.43,-0.015,5.98
2025-01-13,1.021,1.048,1.057,1.021,166878,17477885.0,3.47,1.06,0.011,5.47
2025-01-14,1.055,1.086,1.088,1.05,272639,29205887.0,3.63,3.63,0.038,8.94
2025-01-15,1.079,1.07,1.085,1.067,138773,14910741.0,1.66,-1.47,-0.016,4.55
2025-01-16,1.071,1.079,1.09,1.07,184246,19934144.0,1.87,0.84,0.009,6.04
