日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-27,1.069,1.08,1.145,1.057,4695021,506018061.0,8.37,2.66,0.028,186.36
2025-08-28,1.074,1.138,1.14,1.071,2190246,240179889.0,6.39,5.37,0.058,86.94
2025-08-29,1.124,1.125,1.128,1.102,1058009,117906416.0,2.28,-1.14,-0.013,42.0
2025-09-01,1.125,1.119,1.144,1.106,785357,88390862.0,3.38,-0.53,-0.006,31.17
2025-09-02,1.123,1.087,1.125,1.076,705884,77605319.0,4.38,-2.86,-0.032,28.02
2025-09-03,1.086,1.061,1.087,1.058,459417,49160558.0,2.67,-2.39,-0.026,18.24
2025-09-04,1.061,0.99,1.062,0.975,627310,63496527.0,8.2,-6.69,-0.071,24.9
2025-09-05,0.989,1.033,1.035,0.989,395742,40048797.0,4.65,4.34,0.043,15.71
2025-09-08,1.039,1.03,1.039,1.014,219358,22527275.0,2.42,-0.29,-0.003,8.71
2025-09-09,1.027,1.016,1.032,1.014,186469,19036808.0,1.75,-1.36,-0.014,7.4
2025-09-10,1.019,1.031,1.043,1.015,287388,29715416.0,2.76,1.48,0.015,11.41
2025-09-11,1.031,1.07,1.076,1.022,452091,47869769.0,5.24,3.78,0.039,17.95
2025-09-12,1.07,1.089,1.102,1.062,462179,50261539.0,3.74,1.78,0.019,18.35
2025-09-15,1.1,1.096,1.113,1.081,428580,47034139.0,2.94,0.64,0.007,17.01
2025-09-16,1.096,1.112,1.123,1.094,382378,42518709.0,2.65,1.46,0.016,15.18
2025-09-17,1.111,1.115,1.127,1.094,210166,23371022.0,2.97,0.27,0.003,8.34
2025-09-18,1.117,1.114,1.156,1.096,505979,57370127.0,5.38,-0.09,-0.001,20.08
2025-09-19,1.117,1.092,1.123,1.088,249708,27593966.0,3.14,-1.97,-0.022,9.91
2025-09-22,1.089,1.135,1.142,1.089,448185,50343107.0,4.85,3.94,0.043,17.79
2025-09-23,1.136,1.12,1.14,1.09,296008,32818015.0,4.41,-1.32,-0.015,11.75
2025-09-24,1.102,1.145,1.159,1.102,374251,42561118.0,5.09,2.23,0.025,14.86
2025-09-25,1.145,1.163,1.173,1.144,246607,28683873.0,2.53,1.57,0.018,9.79
2025-09-26,1.16,1.13,1.163,1.127,175285,20020781.0,3.1,-2.84,-0.033,6.96
2025-09-29,1.128,1.141,1.144,1.106,109390,12322964.0,3.36,0.97,0.011,4.34
2025-09-30,1.146,1.176,1.179,1.146,224946,26315769.0,2.89,3.07,0.035,8.93
2025-10-09,1.198,1.197,1.225,1.18,182108,21901311.0,3.83,1.79,0.021,7.23
2025-10-10,1.186,1.135,1.186,1.12,287646,33038460.0,5.51,-5.18,-0.062,11.42
2025-10-13,1.098,1.129,1.156,1.06,133920,15094713.0,8.46,-0.53,-0.006,5.32
2025-10-14,1.145,1.084,1.147,1.076,200013,22027259.0,6.29,-3.99,-0.045,7.94
2025-10-15,1.084,1.094,1.097,1.06,141280,15263968.0,3.41,0.92,0.01,5.61
2025-10-16,1.094,1.08,1.1,1.074,95257,10369361.0,2.38,-1.28,-0.014,3.78
2025-10-17,1.078,1.036,1.078,1.033,182893,19211265.0,4.17,-4.07,-0.044,7.26
2025-10-20,1.046,1.041,1.066,1.035,158671,16646289.0,2.99,0.48,0.005,6.3
2025-10-21,1.045,1.072,1.074,1.044,147936,15706916.0,2.88,2.98,0.031,5.87
2025-10-22,1.069,1.073,1.086,1.055,84241,9004412.0,2.89,0.09,0.001,3.34
2025-10-23,1.075,1.07,1.075,1.052,113641,12059418.0,2.14,-0.28,-0.003,4.51
2025-10-24,1.088,1.116,1.119,1.086,252030,27803199.0,3.08,4.3,0.046,10.0
2025-10-27,1.142,1.127,1.145,1.107,183186,20539392.0,3.41,0.99,0.011,7.27
2025-10-28,1.127,1.121,1.137,1.112,143357,16150902.0,2.22,-0.53,-0.006,5.69
2025-10-29,1.122,1.124,1.127,1.107,128128,14313107.0,1.78,0.27,0.003,5.09
2025-10-30,1.13,1.107,1.13,1.103,109508,12211758.0,2.4,-1.51,-0.017,4.35
2025-10-31,1.107,1.089,1.107,1.077,186996,20422013.0,2.71,-1.63,-0.018,7.42
2025-11-03,1.089,1.075,1.089,1.058,106190,11351207.0,2.85,-1.29,-0.014,4.22
2025-11-04,1.076,1.051,1.076,1.045,131236,13882914.0,2.88,-2.23,-0.024,5.21
2025-11-05,1.041,1.042,1.048,1.027,157980,16371085.0,2.0,-0.86,-0.009,6.27
2025-11-06,1.047,1.069,1.069,1.042,152410,16119050.0,2.59,2.59,0.027,6.05
2025-11-07,1.063,1.045,1.063,1.042,114442,12004052.0,1.96,-2.25,-0.024,4.54
2025-11-10,1.045,1.033,1.058,1.023,163050,16869651.0,3.35,-1.15,-0.012,6.47
2025-11-11,1.039,1.018,1.042,1.015,146707,15014842.0,2.61,-1.45,-0.015,5.82
2025-11-12,1.016,1.011,1.017,0.998,208929,21017956.0,1.87,-0.69,-0.007,8.29
2025-11-13,1.008,1.025,1.03,1.008,196717,20049604.0,2.18,1.38,0.014,7.81
2025-11-14,1.014,0.999,1.018,0.998,163583,16470647.0,1.95,-2.54,-0.026,6.49
2025-11-17,1.005,1.006,1.012,0.999,82503,8284581.0,1.3,0.7,0.007,3.27
2025-11-18,1.006,1.014,1.021,0.996,153902,15605690.0,2.49,0.8,0.008,6.11
2025-11-19,1.014,1.007,1.021,1.003,93450,9462338.0,1.78,-0.69,-0.007,3.71
2025-11-20,1.011,1.0,1.02,0.996,143998,14451589.0,2.38,-0.7,-0.007,5.72
2025-11-21,0.995,0.974,1.0,0.97,177779,17436913.0,3.0,-2.6,-0.026,7.06
2025-11-24,0.982,0.987,0.995,0.963,166540,16294293.0,3.29,1.33,0.013,6.61
2025-11-25,0.999,1.008,1.021,0.991,158165,15997681.0,3.04,2.13,0.021,6.28
2025-11-26,1.009,1.018,1.025,1.0,158299,16135864.0,2.48,0.99,0.01,6.28
2025-11-27,1.018,1.013,1.034,1.01,139175,14280522.0,2.36,-0.49,-0.005,5.52
2025-11-28,1.013,1.02,1.023,1.006,92764,9426326.0,1.68,0.69,0.007,3.68
2025-12-01,1.025,1.035,1.04,1.009,119005,12232581.0,3.04,1.47,0.015,4.72
2025-12-02,1.036,1.02,1.038,1.016,74837,7659462.0,2.13,-1.45,-0.015,2.97
2025-12-03,1.019,1.006,1.029,1.003,66844,6751611.0,2.55,-1.37,-0.014,2.65
2025-12-04,1.005,1.011,1.011,0.991,85526,8569918.0,1.99,0.5,0.005,3.39
2025-12-05,1.008,1.014,1.017,0.997,64026,6454209.0,1.98,0.3,0.003,2.54
2025-12-08,1.02,1.028,1.036,1.015,124445,12801091.0,2.07,1.38,0.014,4.94
2025-12-09,1.027,1.022,1.034,1.017,69145,7091341.0,1.65,-0.58,-0.006,2.74
2025-12-10,1.023,1.025,1.026,1.002,81852,8320146.0,2.35,0.29,0.003,3.25
2025-12-11,1.024,1.004,1.027,1.003,91190,9228791.0,2.34,-2.05,-0.021,3.62
2025-12-12,1.002,1.026,1.028,0.997,148234,15064724.0,3.09,2.19,0.022,5.88
2025-12-15,1.02,1.002,1.02,0.999,119664,12018137.0,2.05,-2.34,-0.024,4.75
2025-12-16,1.002,0.984,1.002,0.978,121407,11990442.0,2.4,-1.8,-0.018,4.82
